period,value,updated
1990Q1,92.2266,
1990Q2,96.1682,
1990Q3,98.6805,
1990Q4,99.092,
1991Q1,97.2718,
1991Q2,94.2543,
1991Q3,96.3892,
1991Q4,96.9177,
1992Q1,95.228,
1992Q2,98.8521,
1992Q3,89.5089,
1992Q4,84.4633,
1993Q1,84.2644,
1993Q2,85.7769,
1993Q3,85.1525,
1993Q4,87.1535,
1994Q1,84.7462,
1994Q2,85.4329,
1994Q3,85.6306,
1994Q4,85.3082,
1995Q1,82.804,
1995Q2,80.8663,
1995Q3,82.0286,
1995Q4,80.7218,
1996Q1,80.7852,
1996Q2,83.5343,
1996Q3,84.181,
1996Q4,92.8584,
1997Q1,93.7494,
1997Q2,97.4292,
1997Q3,95.8226,
1997Q4,99.8508,
1998Q1,103.2635,
1998Q2,102.3129,
1998Q3,99.5865,
1998Q4,96.3447,
1999Q1,98.4161,
1999Q2,98.57,
1999Q3,100.1709,
1999Q4,101.3502,
2000Q1,103.2469,
2000Q2,98.1615,
2000Q3,101.1746,
2000Q4,99.0804,
2001Q1,98.7833,
2001Q2,100.1569,
2001Q3,100.1916,
2001Q4,101.4,
2002Q1,100.2792,
2002Q2,98.5617,
2002Q3,101.9596,
2002Q4,100.1861,
2003Q1,96.0843,
2003Q2,96.9498,
2003Q3,96.1041,
2003Q4,98.4185,
2004Q1,102.2435,
2004Q2,102.1039,
2004Q3,100.5669,
2004Q4,99.8254,
2005Q1,101.3605,
2005Q2,100.7498,
2005Q3,99.55,
2005Q4,98.1431,
2006Q1,97.5653,
2006Q2,100.7012,
2006Q3,102.504,
2006Q4,104.4215,
2007Q1,103.9542,
2007Q2,105.0903,
2007Q3,102.5814,
2007Q4,98.2816,
2008Q1,93.0138,
2008Q2,93.4817,
2008Q3,90.676,
2008Q4,74.393,
2009Q1,77.0897,
2009Q2,84.6424,
2009Q3,79.3271,
2009Q4,80.8768,
2010Q1,78.2275,
2010Q2,81.8473,
2010Q3,79.9508,
2010Q4,79.742,
2011Q1,79.0102,
2011Q2,77.7995,
2011Q3,79.8746,
2011Q4,81.0726,
2012Q1,81.8727,
2012Q2,83.0586,
2012Q3,84.2974,
2012Q4,83.7694,
2013Q1,80.0329,
2013Q2,80.2874,
2013Q3,83.7142,
2013Q4,85.1155,
2014Q1,85.8718,
2014Q2,88.272,
2014Q3,88.3381,
2014Q4,88.2543,
2015Q1,89.9674,
2015Q2,93.3964,
2015Q3,91.0074,
2015Q4,90.4205,
2016Q1,85.1429,
2016Q2,80.6192,
2016Q3,77.674,
2016Q4,77.3769,
2017Q1,77.422,
2017Q2,77.4526,
2017Q3,78.3081,
2017Q4,78.1304,
2018Q1,79.7159,
2018Q2,78.2201,
2018Q3,78.1172,
2018Q4,76.8168,
2019Q1,79.3028,
2019Q2,76.9045,
2019Q3,76.798,
2019Q4,80.7422,
2020Q1,77.6582,
2020Q2,76.0275,
2020Q3,77.3704,
2020Q4,78.937,
2021Q1,82.0933,
2021Q2,81.6644,
2021Q3,80.8707,
2021Q4,82.3966,
2022Q1,81.2604,
2022Q2,78.7589,
2022Q3,76.0523,
2022Q4,77.7055,
2023Q1,79.1642,
2023Q2,82.41,
2023Q3,80.6653,
2023Q4,81.7504,
2024Q1,82.8315,
2024Q2,83.381,
2024Q3,85.7954,
2024Q4,84.5024,
2025Q1,84.9471,
2025Q2,86.0158,
2025Q3,84.6614,
2025Q4,84.5895,
2026Q1,83.9712,
2026Q2,84.8767,
