period,value,updated
1955Q2,0.1,2025-11-13T00:00:00.000Z
1955Q3,1.7,2025-11-13T00:00:00.000Z
1955Q4,-0.6,2024-11-15T00:00:00.000Z
1956Q1,1.2,2025-11-13T00:00:00.000Z
1956Q2,-0.1,2023-11-10T00:00:00.000Z
1956Q3,-0.1,2015-05-27T23:00:00.000Z
1956Q4,0.6,2023-11-10T00:00:00.000Z
1957Q1,1.8,2025-11-13T00:00:00.000Z
1957Q2,0.0,2016-08-25T23:00:00.000Z
1957Q3,-0.6,2015-05-27T23:00:00.000Z
1957Q4,0.3,2023-11-10T00:00:00.000Z
1958Q1,2.1,2025-11-13T00:00:00.000Z
1958Q2,-2.5,2023-11-10T00:00:00.000Z
1958Q3,2.2,2015-05-27T23:00:00.000Z
1958Q4,0.3,2023-11-10T00:00:00.000Z
1959Q1,0.6,2022-11-11T00:00:00.000Z
1959Q2,1.6,2023-11-10T00:00:00.000Z
1959Q3,2.1,2023-11-10T00:00:00.000Z
1959Q4,2.5,2022-11-11T00:00:00.000Z
1960Q1,2.5,2019-11-11T00:00:00.000Z
1960Q2,-0.7,2023-11-10T00:00:00.000Z
1960Q3,1.5,2016-08-25T23:00:00.000Z
1960Q4,0.5,2025-11-13T00:00:00.000Z
1961Q1,1.7,2025-11-13T00:00:00.000Z
1961Q2,0.4,2015-05-27T23:00:00.000Z
1961Q3,-0.5,2015-05-27T23:00:00.000Z
1961Q4,-0.2,2015-05-27T23:00:00.000Z
1962Q1,0.5,2025-11-13T00:00:00.000Z
1962Q2,0.9,2020-11-12T00:00:00.000Z
1962Q3,0.6,2015-05-27T23:00:00.000Z
1962Q4,-0.4,2025-11-13T00:00:00.000Z
1963Q1,0.5,2022-11-11T00:00:00.000Z
1963Q2,4.3,2023-11-10T00:00:00.000Z
1963Q3,0.4,2023-11-10T00:00:00.000Z
1963Q4,2.3,2023-11-10T00:00:00.000Z
1964Q1,0.7,2022-11-11T00:00:00.000Z
1964Q2,1.9,2021-11-11T00:00:00.000Z
1964Q3,0.3,2025-11-13T00:00:00.000Z
1964Q4,1.6,2025-11-13T00:00:00.000Z
1965Q1,-0.3,2015-05-27T23:00:00.000Z
1965Q2,0.1,2015-05-27T23:00:00.000Z
1965Q3,0.8,2015-05-27T23:00:00.000Z
1965Q4,0.6,2023-11-10T00:00:00.000Z
1966Q1,0.2,2024-11-15T00:00:00.000Z
1966Q2,0.6,2023-11-10T00:00:00.000Z
1966Q3,0.3,2016-08-25T23:00:00.000Z
1966Q4,-0.4,2023-11-10T00:00:00.000Z
1967Q1,1.3,2020-11-12T00:00:00.000Z
1967Q2,1.4,2015-05-27T23:00:00.000Z
1967Q3,0.4,2023-11-10T00:00:00.000Z
1967Q4,0.5,2015-05-27T23:00:00.000Z
1968Q1,3.7,2023-11-10T00:00:00.000Z
1968Q2,-0.4,2015-05-27T23:00:00.000Z
1968Q3,1.9,2023-11-10T00:00:00.000Z
1968Q4,0.3,2025-11-13T00:00:00.000Z
1969Q1,-0.2,2023-11-10T00:00:00.000Z
1969Q2,0.7,2025-11-13T00:00:00.000Z
1969Q3,0.6,2025-11-13T00:00:00.000Z
1969Q4,0.5,2023-11-10T00:00:00.000Z
1970Q1,-0.6,2023-11-10T00:00:00.000Z
1970Q2,2.4,2023-11-10T00:00:00.000Z
1970Q3,1.0,2015-05-27T23:00:00.000Z
1970Q4,0.9,2015-05-27T23:00:00.000Z
1971Q1,-0.5,2023-11-10T00:00:00.000Z
1971Q2,1.8,2015-05-27T23:00:00.000Z
1971Q3,1.7,2023-11-10T00:00:00.000Z
1971Q4,0.4,2015-05-27T23:00:00.000Z
1972Q1,0.2,2023-11-10T00:00:00.000Z
1972Q2,2.6,2023-11-10T00:00:00.000Z
1972Q3,0.3,2016-08-25T23:00:00.000Z
1972Q4,1.6,2015-05-27T23:00:00.000Z
1973Q1,4.9,2022-11-11T00:00:00.000Z
1973Q2,0.2,2022-11-11T00:00:00.000Z
1973Q3,-0.9,2023-11-10T00:00:00.000Z
1973Q4,-0.4,2015-05-27T23:00:00.000Z
1974Q1,-2.8,2022-11-11T00:00:00.000Z
1974Q2,1.4,2023-11-10T00:00:00.000Z
1974Q3,0.6,2015-05-27T23:00:00.000Z
1974Q4,-1.5,2020-11-12T00:00:00.000Z
1975Q1,0.0,2022-11-11T00:00:00.000Z
1975Q2,-1.6,2016-08-25T23:00:00.000Z
1975Q3,-0.3,2023-11-10T00:00:00.000Z
1975Q4,1.1,2016-08-25T23:00:00.000Z
1976Q1,1.7,2020-11-12T00:00:00.000Z
1976Q2,-0.1,2020-11-12T00:00:00.000Z
1976Q3,1.2,2023-11-10T00:00:00.000Z
1976Q4,2.1,2016-08-25T23:00:00.000Z
1977Q1,0.1,2023-11-10T00:00:00.000Z
1977Q2,-0.7,2016-08-25T23:00:00.000Z
1977Q3,0.6,2025-11-13T00:00:00.000Z
1977Q4,1.7,2015-05-27T23:00:00.000Z
1978Q1,0.9,2023-11-10T00:00:00.000Z
1978Q2,1.1,2023-11-10T00:00:00.000Z
1978Q3,1.4,2017-11-23T00:00:00.000Z
1978Q4,0.9,2016-08-25T23:00:00.000Z
1979Q1,-0.3,2023-11-10T00:00:00.000Z
1979Q2,4.4,2015-05-27T23:00:00.000Z
1979Q3,-2.2,2016-08-25T23:00:00.000Z
1979Q4,1.0,2020-11-12T00:00:00.000Z
1980Q1,-1.0,2025-11-13T00:00:00.000Z
1980Q2,-2.0,2016-08-25T23:00:00.000Z
