period,value,updated
1992Q1,2.37999979654948,
1992Q2,2.33999972873264,
1992Q3,2.39000023735894,
1992Q4,2.3500001695421,
1993Q1,2.69999991522895,
1993Q2,2.6033332965992098,
1993Q3,2.55000008477105,
1993Q4,2.54000006781684,
1994Q1,2.21999994913737,
1994Q2,2.23999998304579,
1994Q3,2.34999995761447,
1994Q4,2.43999989827474,
1995Q1,2.58999994066026,
1995Q2,2.68999989827474,
1995Q3,2.76944435967339,
1995Q4,2.73499990392614,
1996Q1,2.6800000932481596,
1996Q2,2.68999989827474,
1996Q3,2.68999989827474,
1996Q4,2.9399998982747504,
1997Q1,2.9014814871328833,
1997Q2,2.72999996609158,
1997Q3,2.59999995761447,
1997Q4,2.44999991522895,
1998Q1,2.48999998304579,
1998Q2,2.36999999152289,
1998Q3,2.20999993218316,
1998Q4,1.9100000593397397,
1999Q1,1.7888888888888903,
1999Q2,1.67,
1999Q3,1.7299999999999998,
1999Q4,2.03888888888889,
2000Q1,3.0555555555555594,
2000Q2,3.24,
2000Q3,3.59,
2000Q4,3.93,
2001Q1,4.22,
2001Q2,4.26,
2001Q3,3.78,
2001Q4,3.23285714285714,
2002Q1,2.7900000000000005,
2002Q2,2.56,
2002Q3,2.5241269841269833,
2002Q4,2.7912121212121197,
2003Q1,3.1567901234567866,
2003Q2,3.57851851851852,
2003Q3,3.61,
2003Q4,3.6,
2004Q1,3.39,
2004Q2,3.48,
2004Q3,3.81,
2004Q4,4.34,
2005Q1,5.06,
2005Q2,5.510000000000001,
2005Q3,6.13,
2005Q4,6.96,
2006Q1,7.66,
2006Q2,8.14,
2006Q3,8.4,
2006Q4,8.65,
2007Q1,8.39,
2007Q2,7.830000000000001,
2007Q3,7.79,
2007Q4,8.56,
2008Q1,10.27,
2008Q2,11.9,
2008Q3,14.36,
2008Q4,16.02,
2009Q1,13.986666666666666,
2009Q2,8.6,
2009Q3,6.383333333333333,
2009Q4,6.45,
2010Q1,7.59,
2010Q2,8.093333333333334,
2010Q3,8.513333333333334,
2010Q4,8.693333333333333,
2011Q1,9.149999999999999,
2011Q2,10.016666666666666,
2011Q3,11.14,
2011Q4,12.079999999999998,
2012Q1,12.353333333333333,
2012Q2,12.566666666666668,
2012Q3,11.386666666666668,
2012Q4,11.616666666666667,
2013Q1,11.37,
2013Q2,11.456666666666669,
2013Q3,10.97,
2013Q4,10.96,
2014Q1,10.806666666666667,
2014Q2,10.65,
2014Q3,10.06,
2014Q4,10.336666666666668,
2015Q1,9.36,
2015Q2,7.353333333333333,
2015Q3,6.609999999999999,
2015Q4,5.896666666666666,
2016Q1,4.656666666666666,
2016Q2,4.016666666666667,
2016Q3,4.170000000000001,
2016Q4,4.57,
2017Q1,5.77448617065583,
2017Q2,5.032038780303931,
2017Q3,5.5575642063699275,
2017Q4,6.612116167737383,
2018Q1,7.6752333909955555,
2018Q2,7.343339550358084,
2018Q3,8.4146856484998,
2018Q4,8.231116862455657,
2019Q1,6.114861195364024,
2019Q2,4.265489579160346,
2019Q3,3.3176483905733964,
2019Q4,4.121430837687503,
2020Q1,3.137190195,
2020Q2,1.7312648346666666,
2020Q3,2.7024746473333336,
2020Q4,5.141989587333334,
2021Q1,6.559786292000001,
2021Q2,8.870522250333334,
2021Q3,16.678700986666666,
2021Q4,31.520444009999995,
2022Q1,32.20097148,
2022Q2,30.78888265,
2022Q3,58.767426416666666,
2022Q4,28.32205756,
2023Q1,16.831295493333332,
2023Q2,11.315922624333334,
2023Q3,10.585690198666667,
2023Q4,12.799816656666666,
2024Q1,8.713469329333332,
2024Q2,10.015276231,
2024Q3,11.39481677,
2024Q4,13.441,
2025Q1,14.430496453333333,
2025Q2,11.832113933333334,
2025Q3,11.149626173333333,
2025Q4,10.237333333333334,
2026Q1,13.615666666666668,
2026Q2,15.546,
2026Q3,17.93,
