period,value,updated
1989Q1,5.9,2018-12-19T00:00:00.000Z
1989Q2,4.6,2018-12-19T00:00:00.000Z
1989Q3,3.3,2018-12-19T00:00:00.000Z
1989Q4,3.3,2018-12-19T00:00:00.000Z
1990Q1,3.9,2018-12-19T00:00:00.000Z
1990Q2,7.6,2018-12-19T00:00:00.000Z
1990Q3,7.4,2018-12-19T00:00:00.000Z
1990Q4,8.2,2018-12-19T00:00:00.000Z
1991Q1,10.2,2018-12-19T00:00:00.000Z
1991Q2,6.5,2018-12-19T00:00:00.000Z
1991Q3,6.3,2018-12-19T00:00:00.000Z
1991Q4,5.5,2018-12-19T00:00:00.000Z
1992Q1,3.1,2018-12-19T00:00:00.000Z
1992Q2,1.4,2018-12-19T00:00:00.000Z
1992Q3,-1.4,2018-12-19T00:00:00.000Z
1992Q4,-4.0,2018-12-19T00:00:00.000Z
1993Q1,-5.1,2018-12-19T00:00:00.000Z
1993Q2,-5.1,2018-12-19T00:00:00.000Z
1993Q3,-3.7,2018-12-19T00:00:00.000Z
1993Q4,-1.1,2018-12-19T00:00:00.000Z
1994Q1,0.0,2018-12-19T00:00:00.000Z
1994Q2,8.0,2018-12-19T00:00:00.000Z
1994Q3,8.0,2018-12-19T00:00:00.000Z
1994Q4,8.0,2018-12-19T00:00:00.000Z
1995Q1,8.9,2018-12-19T00:00:00.000Z
1995Q2,1.6,2018-12-19T00:00:00.000Z
1995Q3,1.6,2018-12-19T00:00:00.000Z
1995Q4,1.6,2018-12-19T00:00:00.000Z
1996Q1,0.8,2018-12-19T00:00:00.000Z
1996Q2,0.0,2021-08-17T23:00:00.000Z
1996Q3,-0.1,2018-12-19T00:00:00.000Z
1996Q4,0.0,2018-12-19T00:00:00.000Z
1997Q1,0.0,2015-10-12T23:00:00.000Z
1997Q2,0.0,2015-10-12T23:00:00.000Z
1997Q3,-0.9,2015-10-12T23:00:00.000Z
1997Q4,-2.8,2015-10-12T23:00:00.000Z
1998Q1,-4.1,2015-10-12T23:00:00.000Z
1998Q2,-4.2,2015-10-12T23:00:00.000Z
1998Q3,-3.4,2015-10-12T23:00:00.000Z
1998Q4,-1.3,2015-10-12T23:00:00.000Z
1999Q1,0.4,2015-10-12T23:00:00.000Z
1999Q2,-0.2,2015-10-12T23:00:00.000Z
1999Q3,-0.1,2015-10-12T23:00:00.000Z
1999Q4,-0.3,2015-10-12T23:00:00.000Z
2000Q1,-0.8,2015-10-12T23:00:00.000Z
2000Q2,-2.6,2015-10-12T23:00:00.000Z
2000Q3,-2.5,2015-10-12T23:00:00.000Z
2000Q4,-2.5,2015-10-12T23:00:00.000Z
2001Q1,-2.1,2015-10-12T23:00:00.000Z
2001Q2,4.7,2015-10-12T23:00:00.000Z
2001Q3,4.7,2015-10-12T23:00:00.000Z
2001Q4,4.6,2015-10-12T23:00:00.000Z
2002Q1,9.0,2015-10-12T23:00:00.000Z
2002Q2,5.2,2015-10-12T23:00:00.000Z
2002Q3,5.4,2015-10-12T23:00:00.000Z
2002Q4,5.5,2015-10-12T23:00:00.000Z
2003Q1,1.0,2015-10-12T23:00:00.000Z
2003Q2,1.4,2015-10-12T23:00:00.000Z
2003Q3,2.4,2015-10-12T23:00:00.000Z
2003Q4,2.8,2015-10-12T23:00:00.000Z
2004Q1,4.8,2015-10-12T23:00:00.000Z
2004Q2,6.6,2015-10-12T23:00:00.000Z
2004Q3,6.2,2015-10-12T23:00:00.000Z
2004Q4,10.8,2015-10-12T23:00:00.000Z
2005Q1,14.6,2015-10-12T23:00:00.000Z
2005Q2,12.9,2015-10-12T23:00:00.000Z
2005Q3,13.2,2015-10-12T23:00:00.000Z
2005Q4,16.4,2015-10-12T23:00:00.000Z
2006Q1,15.6,2015-10-12T23:00:00.000Z
2006Q2,30.6,2015-10-12T23:00:00.000Z
2006Q3,37.7,2015-10-12T23:00:00.000Z
2006Q4,40.1,2015-10-12T23:00:00.000Z
2007Q1,37.0,2015-10-12T23:00:00.000Z
2007Q2,12.6,2015-10-12T23:00:00.000Z
2007Q3,-0.9,2015-10-12T23:00:00.000Z
2007Q4,-10.9,2015-10-12T23:00:00.000Z
2008Q1,-5.3,2015-10-12T23:00:00.000Z
2008Q2,6.9,2015-10-12T23:00:00.000Z
2008Q3,30.0,2015-10-12T23:00:00.000Z
2008Q4,50.7,2015-10-12T23:00:00.000Z
