period,value,updated
1968Q2,17.043225806451606,
1968Q3,16.571076923076923,
1968Q4,16.733666666666668,
1969Q1,17.859206349206353,
1969Q2,17.88048387096775,
1969Q3,17.284769230769225,
1969Q4,15.790000000000001,
1970Q1,14.564098360655725,
1970Q2,14.841875,
1970Q3,14.922769230769227,
1970Q4,15.6803125,
1971Q1,15.952857142857143,
1971Q2,16.490806451612904,
1971Q3,17.117,
1971Q4,17.16380952380952,
1972Q1,18.266093750000003,
1972Q2,21.283934426229514,
1972Q3,27.012656249999992,
1972Q4,27.01412698412699,
1973Q1,30.80142857142857,
1973Q2,41.230000000000004,
1973Q3,44.35374999999999,
1973Q4,42.05650793650794,
1974Q1,65.19714285714286,
1974Q2,68.01290322580643,
1974Q3,63.61723076923074,
1974Q4,74.64285714285712,
1975Q1,74.407868852459,
1975Q2,71.8921875,
1975Q3,73.8030769230769,
1975Q4,69.2293650793651,
1976Q1,65.97171874999998,
1976Q2,70.24725806451615,
1976Q3,64.54661538461538,
1976Q4,76.77396825396825,
1977Q1,81.29650793650791,
1977Q2,84.62688524590163,
1977Q3,84.11153846153847,
1977Q4,88.5283870967742,
1978Q1,92.42129032258067,
1978Q2,97.29396825396826,
1978Q3,104.69968750000002,
1978Q4,107.81634920634919,
1979Q1,118.05828125000008,
1979Q2,124.52065573770489,
1979Q3,141.48109374999996,
1979Q4,189.3618032786885,
1980Q1,279.83437499999997,
1980Q2,238.11426229508191,
1980Q3,272.3406153846154,
1980Q4,263.15983870967744,
1981Q1,224.1853225806451,
1981Q2,230.14590163934423,
1981Q3,229.19781249999994,
1981Q4,223.75725806451612,
1982Q1,195.59857142857138,
1982Q2,186.80868852459022,
1982Q3,220.5033846153846,
1982Q4,258.3233870967742,
1983Q1,301.5112698412699,
1983Q2,274.74377049180333,
1983Q3,276.08046153846163,
1983Q4,263.3808196721313,
1984Q1,267.28859374999996,
1984Q2,271.1940983606557,
1984Q3,265.83984375,
1984Q4,274.5387096774194,
1985Q1,268.9541269841271,
1985Q2,253.79508196721318,
1985Q3,234.96384615384613,
1985Q4,225.99285714285722,
1986Q1,238.49540983606562,
1986Q2,226.49190476190478,
1986Q3,255.63692307692304,
1986Q4,283.486129032258,
1987Q1,263.3198412698413,
1987Q2,273.5513114754098,
1987Q3,282.4667692307693,
1987Q4,270.18564516129044,
1988Q1,252.35890625000005,
1988Q2,245.45770491803276,
1988Q3,251.9178461538462,
1988Q4,231.8211475409837,
1989Q1,225.3432258064516,
1989Q2,230.13111111111107,
1989Q3,229.94796875000003,
1989Q4,245.30049180327856,
1990Q1,245.22468749999993,
1990Q2,217.84311475409842,
1990Q3,205.1128125,
1990Q4,195.10419354838712,
1991Q1,194.29838709677423,
1991Q2,211.04516129032257,
1991Q3,212.51723076923088,
1991Q4,203.49161290322579,
1992Q1,198.0384375,
1992Q2,187.46590163934428,
1992Q3,182.72400000000002,
1992Q4,213.90209677419352,
1993Q1,223.2922222222222,
1993Q2,235.10901639344254,
1993Q3,249.51953846153845,
1993Q4,250.42354838709676,
1994Q1,258.1739682539683,
1994Q2,253.56770491803283,
1994Q3,248.69369230769234,
1994Q4,242.54393442622955,
1995Q1,239.565,
1995Q2,242.8631147540983,
1995Q3,244.19828124999995,
1995Q4,246.58721311475415,
1996Q1,261.2959375000001,
1996Q2,255.93426229508202,
1996Q3,247.3436923076923,
1996Q4,230.5783870967742,
1997Q1,215.31852459016392,
1997Q2,209.68047619047624,
1997Q3,199.09200000000004,
1997Q4,185.57080645161287,
1998Q1,178.5973015873017,
1998Q2,181.16278688524594,
1998Q3,174.7544615384616,
1998Q4,175.43403225806452,
1999Q1,175.65380952380946,
1999Q2,169.87311475409834,
1999Q3,161.82876923076924,
1999Q4,181.39129032258072,
2000Q1,180.79390625000005,
2000Q2,183.2234426229508,
2000Q3,187.05578125000002,
2000Q4,186.16967213114756,
2001Q1,180.62078125000005,
2001Q2,188.68229508196725,
2001Q3,190.77,
2001Q4,193.03693548387105,
2002Q1,203.37193548387106,
2002Q2,213.65704918032782,
2002Q3,202.80584615384612,
2002Q4,204.95451612903227,
2003Q1,219.573492063492,
2003Q2,213.9981967213115,
2003Q3,225.41323076923084,
2003Q4,229.55016129032254,
2004Q1,222.08515625,
2004Q2,217.6578688524589,
2004Q3,220.67769230769227,
2004Q4,232.90145161290326,
2005Q1,225.9844262295081,
2005Q2,230.47031746031752,
2005Q3,246.3698461538461,
2005Q4,276.93295081967227,
2006Q1,316.0684375,
2006Q2,342.8321311475411,
2006Q3,331.56281249999995,
2006Q4,320.4606557377049,
2007Q1,332.5329687499999,
2007Q2,335.6831147540984,
2007Q3,336.5581249999999,
2007Q4,383.8988709677418,
2008Q1,467.4682258064516,
2008Q2,454.8879365079364,
2008Q3,459.7672307692307,
2008Q4,504.65322580645153,
2009Q1,634.2301587301591,
2009Q2,594.7909836065572,
2009Q3,585.3241538461539,
2009Q4,672.4969354838712,
2010Q1,712.3761904761908,
2010Q2,803.6896721311474,
2010Q3,791.3218461538462,
2010Q4,863.9158064516132,
2011Q1,864.8087301587299,
2011Q2,924.8813333333333,
2011Q3,1057.6387692307692,
2011Q4,1073.11,
2012Q1,1076.1264062500002,
2012Q2,1016.3281666666668,
2012Q3,1045.5406250000003,
2012Q4,1072.347580645161,
2013Q1,1051.6959677419356,
2013Q2,921.1838709677418,
2013Q3,855.6680000000002,
2013Q4,787.5809677419354,
2014Q1,781.2809523809523,
2014Q2,765.4829508196722,
2014Q3,767.4286153846152,
2014Q4,758.1303225806452,
2015Q1,804.9176190476193,
2015Q2,777.7724590163933,
2015Q3,725.5090769230771,
2015Q4,728.3362903225809,
2016Q1,827.138064516129,
2016Q2,878.3966666666666,
2016Q3,1016.6667692307694,
2016Q4,983.8337704918035,
2017Q1,984.7921874999997,
2017Q2,981.9186885245902,
2017Q3,976.7809374999999,
2017Q4,962.0308196721309,
2018Q1,955.3436507936507,
2018Q2,960.2019354838709,
2018Q3,930.6378124999998,
2018Q4,952.4640322580643,
2019Q1,1001.433650793651,
2019Q2,1019.531475409836,
2019Q3,1194.6012307692304,
2019Q4,1152.1070967741935,
2020Q1,1237.7862500000006,
2020Q2,1378.2477049180327,
2020Q3,1477.7359999999994,
2020Q4,1421.3511290322583,
2021Q1,1301.6490476190475,
2021Q2,1298.6036065573771,
2021Q3,1298.255538461538,
2021Q4,1331.3480645161285,
2022Q1,1400.6985714285713,
2022Q2,1490.8543333333334,
2022Q3,1469.48453125,
2022Q4,1472.00524590164,
2023Q1,1554.8978125,
2023Q2,1577.8420000000006,
2023Q3,1523.2839062500002,
2023Q4,1590.7073770491804,
2024Q1,1632.5036507936504,
2024Q2,1853.0761290322582,
2024Q3,1902.9770769230763,
2024Q4,2075.3930645161286,
2025Q1,2269.7068253968246,
2025Q2,2455.4945901639353,
2025Q3,2563.6772307692304,
2025Q4,3111.6653225806454,
2026Q1,3613.906825396825,
2026Q2,3355.452131147541,
2026Q3,3169.8363333333336,
