period,value,updated
1975Q1,10.2632,
1975Q2,9.9609,
1975Q3,10.7077,
1975Q4,11.7383,
1976Q1,9.8164,
1976Q2,10.5726,
1976Q3,11.8231,
1976Q4,14.7227,
1977Q1,12.2302,
1977Q2,8.3893,
1977Q3,7.2462,
1977Q4,5.8492,
1978Q1,6.5323,
1978Q2,8.5675,
1978Q3,10.0,
1978Q4,11.3889,
1979Q1,13.0234,
1979Q2,12.4754,
1979Q3,14.0,
1979Q4,15.4531,
1980Q1,17.0,
1980Q2,17.0,
1980Q3,16.0308,
1980Q4,15.2188,
1981Q1,13.5238,
1981Q2,12.0,
1981Q3,12.5254,
1981Q4,14.6113,
1982Q1,13.7758,
1982Q2,13.002,
1982Q3,11.3538,
1982Q4,9.6758,
1983Q1,10.8145,
1983Q2,10.0051,
1983Q3,9.5606,
1983Q4,9.0625,
1984Q1,8.9414,
1984Q2,8.8545,
1984Q3,10.9023,
1984Q4,9.9844,
1985Q1,12.9226,
1985Q2,12.4734,
1985Q3,11.5827,
1985Q4,11.375,
1986Q1,12.1127,
1986Q2,10.3353,
1986Q3,9.875,
1986Q4,10.7188,
1987Q1,10.6607,
1987Q2,9.2111,
1987Q3,9.475,
1987Q4,9.0391,
1988Q1,8.6328,
1988Q2,7.9652,
1988Q3,10.9058,
1988Q4,12.256,
1989Q1,12.875,
1989Q2,13.2361,
1989Q3,13.7607,
1989Q4,14.8036,
1990Q1,14.875,
1990Q2,14.875,
1990Q3,14.875,
1990Q4,13.9531,
1991Q1,13.3992,
1991Q2,11.7379,
1991Q3,10.7981,
1991Q4,10.375,
1992Q1,10.375,
1992Q2,10.0471,
1992Q3,9.7673,
1992Q4,7.5313,
1993Q1,6.129,
1993Q2,5.875,
1993Q3,5.875,
1993Q4,5.6641,
1994Q1,5.2242,
1994Q2,5.125,
1994Q3,5.2404,
1994Q4,5.752,
1995Q1,6.4531,
1995Q2,6.625,
1995Q3,6.625,
1995Q4,6.5813,
1996Q1,6.125,
1996Q2,5.8678,
1996Q3,5.6875,
1996Q4,5.8555,
1997Q1,5.9375,
1997Q2,6.1984,
1997Q3,6.8692,
1997Q4,7.1484,
1998Q1,7.25,
1998Q2,7.3279,
1998Q3,7.5,
1998Q4,6.8555,
1999Q1,5.6944,
1999Q2,5.2008,
1999Q3,5.0654,
1999Q4,5.4048,
2000Q1,5.8672,
2000Q2,6.0,
2000Q3,6.0,
2000Q4,6.0,
2001Q1,5.8555,
2001Q2,5.3648,
2001Q3,5.0547,
2001Q4,4.2305,
2002Q1,4.0,
2002Q2,4.0,
2002Q3,4.0,
2002Q4,4.0,
2003Q1,3.8492,
2003Q2,3.75,
2003Q3,3.5269,
2003Q4,3.6484,
2004Q1,3.9063,
2004Q2,4.2213,
2004Q3,4.6538,
2004Q4,4.75,
2005Q1,4.75,
2005Q2,4.75,
2005Q3,4.5923,
2005Q4,4.5,
2006Q1,4.5,
2006Q2,4.5,
2006Q3,4.6602,
2006Q4,4.8889,
2007Q1,5.2227,
2007Q2,5.3975,
2007Q3,5.7383,
2007Q4,5.6875,
2008Q1,5.3548,
2008Q2,5.0278,
2008Q3,5.0,
2008Q4,3.3672,
2009Q1,1.0714,
2009Q2,0.5,
2009Q3,0.5,
2009Q4,0.5,
2010Q1,0.5,
2010Q2,0.5,
2010Q3,0.5,
2010Q4,0.5,
2011Q1,0.5,
2011Q2,0.5,
2011Q3,0.5,
2011Q4,0.5,
2012Q1,0.5,
2012Q2,0.5,
2012Q3,0.5,
2012Q4,0.5,
2013Q1,0.5,
2013Q2,0.5,
2013Q3,0.5,
2013Q4,0.5,
2014Q1,0.5,
2014Q2,0.5,
2014Q3,0.5,
2014Q4,0.5,
2015Q1,0.5,
2015Q2,0.5,
2015Q3,0.5,
2015Q4,0.5,
2016Q1,0.5,
2016Q2,0.5,
2016Q3,0.3423,
2016Q4,0.25,
2017Q1,0.25,
2017Q2,0.25,
2017Q3,0.25,
2017Q4,0.4087,
2018Q1,0.5,
2018Q2,0.5,
2018Q3,0.6602,
2018Q4,0.75,
2019Q1,0.75,
2019Q2,0.75,
2019Q3,0.75,
2019Q4,0.75,
2020Q1,0.6117,
2020Q2,0.1,
2020Q3,0.1,
2020Q4,0.1,
2021Q1,0.1,
2021Q2,0.1,
2021Q3,0.1,
2021Q4,0.1234,
2022Q1,0.4563,
2022Q2,0.9583,
2022Q3,1.6172,
2022Q4,2.8056,
2023Q1,3.8555,
2023Q2,4.4583,
2023Q3,5.1602,
2023Q4,5.25,
2024Q1,5.25,
2024Q2,5.25,
2024Q3,5.0885,
2024Q4,4.8555,
2025Q1,4.5992,
2025Q2,4.3484,
2025Q3,4.1038,
2025Q4,3.9688,
2026Q1,3.75,
2026Q2,3.75,
