period,value,updated
1971Q1,24.9,2017-02-15T00:00:00.000Z
1971Q2,24.9,2015-10-13T23:00:00.000Z
1971Q3,25.1,2015-10-13T23:00:00.000Z
1971Q4,25.2,2015-10-13T23:00:00.000Z
1972Q1,24.8,2015-10-13T23:00:00.000Z
1972Q2,24.8,2015-10-13T23:00:00.000Z
1972Q3,24.8,2015-10-13T23:00:00.000Z
1972Q4,24.6,2015-10-13T23:00:00.000Z
1973Q1,24.3,2015-10-13T23:00:00.000Z
1973Q2,24.2,2015-10-13T23:00:00.000Z
1973Q3,24.4,2015-10-13T23:00:00.000Z
1973Q4,24.4,2015-10-13T23:00:00.000Z
1974Q1,24.4,2015-10-13T23:00:00.000Z
1974Q2,24.3,2015-10-13T23:00:00.000Z
1974Q3,24.1,2015-10-13T23:00:00.000Z
1974Q4,24.1,2015-10-13T23:00:00.000Z
1975Q1,24.1,2015-10-13T23:00:00.000Z
1975Q2,24.0,2015-10-13T23:00:00.000Z
1975Q3,23.9,2015-10-13T23:00:00.000Z
1975Q4,23.8,2015-10-13T23:00:00.000Z
1976Q1,23.9,2015-10-13T23:00:00.000Z
1976Q2,23.9,2015-10-13T23:00:00.000Z
1976Q3,24.0,2015-10-13T23:00:00.000Z
1976Q4,24.0,2015-10-13T23:00:00.000Z
1977Q1,24.1,2015-10-13T23:00:00.000Z
1977Q2,24.1,2015-10-13T23:00:00.000Z
1977Q3,24.1,2015-10-13T23:00:00.000Z
1977Q4,24.1,2015-10-13T23:00:00.000Z
1978Q1,24.2,2015-10-13T23:00:00.000Z
1978Q2,24.3,2015-10-13T23:00:00.000Z
1978Q3,24.3,2015-10-13T23:00:00.000Z
1978Q4,24.2,2015-10-13T23:00:00.000Z
1979Q1,24.2,2015-10-13T23:00:00.000Z
1979Q2,24.2,2015-10-13T23:00:00.000Z
1979Q3,24.1,2015-10-13T23:00:00.000Z
1979Q4,24.1,2015-10-13T23:00:00.000Z
1980Q1,24.0,2015-10-13T23:00:00.000Z
1980Q2,23.9,2015-10-13T23:00:00.000Z
1980Q3,23.9,2015-10-13T23:00:00.000Z
1980Q4,23.9,2015-10-13T23:00:00.000Z
1981Q1,23.8,2015-10-13T23:00:00.000Z
1981Q2,23.9,2015-10-13T23:00:00.000Z
1981Q3,24.1,2015-10-13T23:00:00.000Z
1981Q4,24.4,2015-10-13T23:00:00.000Z
1982Q1,24.6,2015-10-13T23:00:00.000Z
1982Q2,24.9,2015-10-13T23:00:00.000Z
1982Q3,25.2,2015-10-13T23:00:00.000Z
1982Q4,25.5,2015-10-13T23:00:00.000Z
1983Q1,25.8,2015-10-13T23:00:00.000Z
1983Q2,25.9,2015-10-13T23:00:00.000Z
1983Q3,25.4,2015-10-13T23:00:00.000Z
1983Q4,24.9,2015-10-13T23:00:00.000Z
1984Q1,24.5,2015-10-13T23:00:00.000Z
1984Q2,24.2,2015-10-13T23:00:00.000Z
1984Q3,24.2,2015-10-13T23:00:00.000Z
1984Q4,24.0,2015-10-13T23:00:00.000Z
1985Q1,24.0,2015-10-13T23:00:00.000Z
1985Q2,23.9,2015-10-13T23:00:00.000Z
1985Q3,23.9,2015-10-13T23:00:00.000Z
1985Q4,23.8,2015-10-13T23:00:00.000Z
1986Q1,23.8,2015-10-13T23:00:00.000Z
1986Q2,23.7,2015-10-13T23:00:00.000Z
1986Q3,23.5,2015-10-13T23:00:00.000Z
1986Q4,23.4,2015-10-13T23:00:00.000Z
1987Q1,23.4,2015-10-13T23:00:00.000Z
1987Q2,23.2,2015-10-13T23:00:00.000Z
1987Q3,23.0,2015-10-13T23:00:00.000Z
1987Q4,22.8,2015-10-13T23:00:00.000Z
1988Q1,22.6,2015-10-13T23:00:00.000Z
1988Q2,22.5,2015-10-13T23:00:00.000Z
1988Q3,22.4,2015-10-13T23:00:00.000Z
1988Q4,22.2,2015-10-13T23:00:00.000Z
1989Q1,22.0,2015-10-13T23:00:00.000Z
1989Q2,21.9,2015-10-13T23:00:00.000Z
1989Q3,21.9,2015-10-13T23:00:00.000Z
1989Q4,21.7,2015-10-13T23:00:00.000Z
1990Q1,21.8,2015-10-13T23:00:00.000Z
1990Q2,21.7,2015-10-13T23:00:00.000Z
1990Q3,21.7,2015-10-13T23:00:00.000Z
1990Q4,21.8,2015-10-13T23:00:00.000Z
1991Q1,22.0,2015-10-13T23:00:00.000Z
1991Q2,22.2,2015-10-13T23:00:00.000Z
1991Q3,22.5,2015-10-13T23:00:00.000Z
1991Q4,22.9,2015-10-13T23:00:00.000Z
1992Q1,23.1,2015-10-13T23:00:00.000Z
1992Q2,23.3,2015-10-13T23:00:00.000Z
1992Q3,23.4,2015-10-13T23:00:00.000Z
1992Q4,23.5,2015-10-13T23:00:00.000Z
1993Q1,23.4,2015-10-13T23:00:00.000Z
1993Q2,23.6,2015-10-13T23:00:00.000Z
1993Q3,23.6,2015-10-13T23:00:00.000Z
1993Q4,23.6,2015-10-13T23:00:00.000Z
1994Q1,23.6,2015-10-13T23:00:00.000Z
1994Q2,23.7,2015-10-13T23:00:00.000Z
1994Q3,23.7,2015-10-13T23:00:00.000Z
1994Q4,24.1,2015-10-13T23:00:00.000Z
1995Q1,24.0,2015-10-13T23:00:00.000Z
1995Q2,23.9,2015-10-13T23:00:00.000Z
1995Q3,23.7,2015-10-13T23:00:00.000Z
1995Q4,23.7,2015-10-13T23:00:00.000Z
1996Q1,23.8,2015-10-13T23:00:00.000Z
1996Q2,23.7,2015-10-13T23:00:00.000Z
1996Q3,23.8,2015-10-13T23:00:00.000Z
1996Q4,23.6,2015-10-13T23:00:00.000Z
1997Q1,23.6,2015-10-13T23:00:00.000Z
1997Q2,23.4,2015-10-13T23:00:00.000Z
1997Q3,23.6,2015-10-13T23:00:00.000Z
1997Q4,23.8,2015-10-13T23:00:00.000Z
1998Q1,23.8,2015-10-13T23:00:00.000Z
1998Q2,23.9,2015-10-13T23:00:00.000Z
1998Q3,23.6,2015-10-13T23:00:00.000Z
1998Q4,23.5,2015-10-13T23:00:00.000Z
1999Q1,23.4,2015-10-13T23:00:00.000Z
1999Q2,23.4,2015-10-13T23:00:00.000Z
1999Q3,23.3,2015-10-13T23:00:00.000Z
1999Q4,23.2,2015-10-13T23:00:00.000Z
2000Q1,23.2,2015-10-13T23:00:00.000Z
2000Q2,23.3,2015-10-13T23:00:00.000Z
2000Q3,23.2,2015-10-13T23:00:00.000Z
2000Q4,23.5,2015-10-13T23:00:00.000Z
2001Q1,23.4,2015-10-13T23:00:00.000Z
2001Q2,23.4,2015-10-13T23:00:00.000Z
2001Q3,23.5,2015-10-13T23:00:00.000Z
2001Q4,23.4,2015-10-13T23:00:00.000Z
2002Q1,23.6,2015-10-13T23:00:00.000Z
