period,value,updated
1987Q2,18.78310344827586,
1987Q3,19.063030303030303,
1987Q4,17.904062499999995,
1988Q1,15.63901639344262,
1988Q2,16.12984126984127,
1988Q3,14.305692307692308,
1988Q4,13.527777777777779,
1989Q1,17.593333333333337,
1989Q2,18.761290322580642,
1989Q3,17.367384615384616,
1989Q4,19.125555555555554,
1990Q1,19.774516129032254,
1990Q2,16.009354838709676,
1990Q3,26.162307692307696,
1990Q4,32.638,
1991Q1,20.819838709677416,
1991Q2,18.8659375,
1991Q3,19.878095238095234,
1991Q4,20.618688524590166,
1992Q1,17.94225806451613,
1992Q2,20.078245614035083,
1992Q3,20.07920634920635,
1992Q4,19.19857142857142,
1993Q1,18.24688524590164,
1993Q2,18.250333333333334,
1993Q3,16.453076923076917,
1993Q4,15.193095238095239,
1994Q1,13.974249999999994,
1994Q2,16.0736,
1994Q3,16.789210526315788,
1994Q4,16.701428571428572,
1995Q1,17.129230769230773,
1995Q2,18.22137931034483,
1995Q3,16.22692307692308,
1995Q4,16.91,
1996Q1,18.70595238095238,
1996Q2,19.691111111111113,
1996Q3,21.03173913043478,
1996Q4,23.610000000000003,
1997Q1,21.209259259259266,
1997Q2,18.132708333333337,
1997Q3,18.39913043478261,
1997Q4,18.882368421052636,
1998Q1,14.11418181818181,
1998Q2,13.006176470588235,
1998Q3,12.530392156862744,
1998Q4,11.201428571428572,
1999Q1,11.372272727272728,
1999Q2,15.577499999999995,
1999Q3,20.914390243902435,
1999Q4,24.127708333333334,
2000Q1,27.06315789473684,
2000Q2,26.942040816326532,
2000Q3,30.885199999999994,
2000Q4,30.497826086956508,
2001Q1,25.703170731707328,
2001Q2,27.318166666666674,
2001Q3,24.82750000000001,
2001Q4,19.33511111111111,
2002Q1,21.416938775510204,
2002Q2,25.266199999999994,
2002Q3,26.838431372549014,
2002Q4,27.189999999999994,
2003Q1,31.43258620689656,
2003Q2,26.240392156862757,
2003Q3,28.556346153846157,
2003Q4,29.431454545454542,
2004Q1,32.26708333333334,
2004Q2,35.45035087719298,
2004Q3,41.39983333333335,
2004Q4,44.087076923076914,
2005Q1,47.092244897959176,
2005Q2,51.77156862745099,
2005Q3,61.61777777777776,
2005Q4,56.85344262295082,
2006Q1,61.525869565217405,
2006Q2,69.58509090909094,
2006Q3,69.73215384615388,
2006Q4,59.54761904761903,
2007Q1,57.79338983050847,
2007Q2,68.59451612903227,
2007Q3,74.75111111111109,
2007Q4,88.28777777777776,
2008Q1,96.85540983606559,
2008Q2,121.204375,
2008Q3,114.685,
2008Q4,55.02843749999998,
2009Q1,44.52213114754099,
2009Q2,58.877460317460304,
2009Q3,68.13796875000001,
2009Q4,74.56578124999997,
2010Q1,76.41803278688525,
2010Q2,78.48920634920633,
2010Q3,76.82343750000001,
2010Q4,86.54,
2011Q1,105.4496774193548,
2011Q2,117.01245901639346,
2011Q3,113.23507936507939,
2011Q4,109.4208064516129,
2012Q1,118.71064516129034,
2012Q2,107.74983333333336,
2012Q3,109.62841269841267,
2012Q4,110.14781250000004,
2013Q1,112.44333333333337,
2013Q2,102.56468750000002,
2013Q3,110.22859375,
2013Q4,109.22640624999998,
2014Q1,108.14193548387095,
2014Q2,109.69406250000002,
2014Q3,101.89984375,
2014Q4,76.27158730158735,
2015Q1,53.97709677419355,
2015Q2,61.6511111111111,
2015Q3,50.444923076923075,
2015Q4,43.55692307692309,
2016Q1,33.84274193548387,
2016Q2,45.566875,
2016Q3,45.80106060606059,
2016Q4,49.05222222222222,
2017Q1,53.594531249999996,
2017Q2,49.55406249999998,
2017Q3,52.09938461538461,
2017Q4,61.39650793650794,
2018Q1,66.86349206349209,
2018Q2,74.53387096774195,
2018Q3,75.07015384615386,
2018Q4,68.76387096774194,
2019Q1,63.09730158730159,
2019Q2,69.03650793650795,
2019Q3,61.94575757575756,
2019Q4,63.26784615384615,
2020Q1,50.27484374999999,
2020Q2,29.69901639344263,
2020Q3,42.9123076923077,
2020Q4,44.31646153846154,
2021Q1,61.03873015873016,
2021Q2,68.98180327868852,
2021Q3,73.50907692307692,
2021Q4,79.60906249999998,
2022Q1,100.87234374999998,
2022Q2,113.83524590163933,
2022Q3,100.708125,
2022Q4,88.72365079365079,
2023Q1,81.06593749999999,
2023Q2,77.98783333333333,
2023Q3,86.65140625,
2023Q4,84.01238095238094,
2024Q1,82.91968253968255,
2024Q2,84.68209677419355,
2024Q3,80.00507692307698,
2024Q4,74.65609374999998,
2025Q1,75.87460317460317,
2025Q2,68.06704918032787,
2025Q3,69.03123076923077,
2025Q4,63.654218749999984,
2026Q1,80.7198412698413,
2026Q2,102.62590163934424,
2026Q3,94.15677966101696,
