period,value,updated
1988Q1,48.6,2018-12-19T00:00:00.000Z
1988Q2,49.5,2016-01-19T09:30:00.000Z
1988Q3,49.9,2016-01-19T09:30:00.000Z
1988Q4,50.5,2016-01-19T09:30:00.000Z
1989Q1,51.0,2018-12-19T00:00:00.000Z
1989Q2,52.1,2016-01-19T09:30:00.000Z
1989Q3,52.5,2018-12-19T00:00:00.000Z
1989Q4,53.3,2018-12-19T00:00:00.000Z
1990Q1,53.9,2016-01-19T09:30:00.000Z
1990Q2,55.6,2016-01-19T09:30:00.000Z
1990Q3,56.4,2016-01-19T09:30:00.000Z
1990Q4,57.5,2018-12-19T00:00:00.000Z
1991Q1,57.7,2016-01-19T09:30:00.000Z
1991Q2,60.3,2018-12-19T00:00:00.000Z
1991Q3,60.8,2018-12-19T00:00:00.000Z
1991Q4,61.5,2016-01-19T09:30:00.000Z
1992Q1,61.7,2016-01-19T09:30:00.000Z
1992Q2,62.8,2016-01-19T09:30:00.000Z
1992Q3,62.7,2016-01-19T09:30:00.000Z
1992Q4,63.1,2016-01-19T09:30:00.000Z
1993Q1,63.2,2016-01-19T09:30:00.000Z
1993Q2,64.4,2016-01-19T09:30:00.000Z
1993Q3,64.5,2016-01-19T09:30:00.000Z
1993Q4,64.7,2018-12-19T00:00:00.000Z
1994Q1,64.7,2016-01-19T09:30:00.000Z
1994Q2,65.7,2016-01-19T09:30:00.000Z
1994Q3,65.6,2016-01-19T09:30:00.000Z
1994Q4,65.8,2016-01-19T09:30:00.000Z
1995Q1,66.3,2016-01-19T09:30:00.000Z
1995Q2,67.3,2016-01-19T09:30:00.000Z
1995Q3,67.4,2016-01-19T09:30:00.000Z
1995Q4,67.7,2016-01-19T09:30:00.000Z
1996Q1,68.1,2016-01-19T09:30:00.000Z
1996Q2,68.9,2016-01-19T09:30:00.000Z
1996Q3,68.9,2016-01-19T09:30:00.000Z
1996Q4,69.4,2016-01-19T09:30:00.000Z
1997Q1,69.4,2016-01-19T09:30:00.000Z
1997Q2,70.0,2016-01-19T09:30:00.000Z
1997Q3,70.3,2016-01-19T09:30:00.000Z
1997Q4,70.6,2016-01-19T09:30:00.000Z
1998Q1,70.5,2016-01-19T09:30:00.000Z
1998Q2,71.3,2016-01-19T09:30:00.000Z
1998Q3,71.2,2016-01-19T09:30:00.000Z
1998Q4,71.6,2016-01-19T09:30:00.000Z
1999Q1,71.6,2016-01-19T09:30:00.000Z
1999Q2,72.3,2016-01-19T09:30:00.000Z
1999Q3,72.1,2016-01-19T09:30:00.000Z
1999Q4,72.5,2016-01-19T09:30:00.000Z
2000Q1,72.1,2016-01-19T09:30:00.000Z
2000Q2,72.7,2016-01-19T09:30:00.000Z
2000Q3,72.7,2016-01-19T09:30:00.000Z
2000Q4,73.2,2016-01-19T09:30:00.000Z
2001Q1,72.8,2016-01-19T09:30:00.000Z
2001Q2,73.8,2016-01-19T09:30:00.000Z
2001Q3,73.8,2016-01-19T09:30:00.000Z
2001Q4,73.9,2016-01-19T09:30:00.000Z
2002Q1,73.9,2016-01-19T09:30:00.000Z
2002Q2,74.5,2016-01-19T09:30:00.000Z
2002Q3,74.6,2016-01-19T09:30:00.000Z
2002Q4,75.0,2016-01-19T09:30:00.000Z
2003Q1,75.0,2016-01-19T09:30:00.000Z
2003Q2,75.5,2016-01-19T09:30:00.000Z
2003Q3,75.6,2016-01-19T09:30:00.000Z
2003Q4,76.0,2016-01-19T09:30:00.000Z
2004Q1,75.9,2016-01-19T09:30:00.000Z
2004Q2,76.5,2016-01-19T09:30:00.000Z
2004Q3,76.6,2016-01-19T09:30:00.000Z
2004Q4,77.1,2016-01-19T09:30:00.000Z
2005Q1,77.3,2016-01-19T09:30:00.000Z
2005Q2,78.0,2016-01-19T09:30:00.000Z
2005Q3,78.4,2016-01-19T09:30:00.000Z
2005Q4,78.8,2016-01-19T09:30:00.000Z
2006Q1,78.7,2016-01-19T09:30:00.000Z
2006Q2,79.8,2016-01-19T09:30:00.000Z
2006Q3,80.3,2016-01-19T09:30:00.000Z
2006Q4,80.9,2016-01-19T09:30:00.000Z
2007Q1,81.0,2016-01-19T09:30:00.000Z
2007Q2,81.8,2016-01-19T09:30:00.000Z
2007Q3,81.7,2016-01-19T09:30:00.000Z
2007Q4,82.6,2016-01-19T09:30:00.000Z
2008Q1,82.9,2016-01-19T09:30:00.000Z
2008Q2,84.6,2016-01-19T09:30:00.000Z
2008Q3,85.7,2016-01-19T09:30:00.000Z
2008Q4,85.8,2016-01-19T09:30:00.000Z
2009Q1,85.4,2016-01-19T09:30:00.000Z
2009Q2,86.4,2016-01-19T09:30:00.000Z
2009Q3,86.9,2016-01-19T09:30:00.000Z
2009Q4,87.6,2016-01-19T09:30:00.000Z
2010Q1,88.2,2016-01-19T09:30:00.000Z
2010Q2,89.3,2016-01-19T09:30:00.000Z
2010Q3,89.6,2016-01-19T09:30:00.000Z
2010Q4,90.5,2016-01-19T09:30:00.000Z
2011Q1,91.8,2016-01-19T09:30:00.000Z
2011Q2,93.3,2016-01-19T09:30:00.000Z
2011Q3,93.8,2016-01-19T09:30:00.000Z
2011Q4,94.7,2016-01-19T09:30:00.000Z
2012Q1,95.1,2016-01-19T09:30:00.000Z
2012Q2,95.8,2016-01-19T09:30:00.000Z
2012Q3,96.1,2016-01-19T09:30:00.000Z
2012Q4,97.3,2016-01-19T09:30:00.000Z
2013Q1,97.7,2016-01-19T09:30:00.000Z
2013Q2,98.4,2016-01-19T09:30:00.000Z
2013Q3,98.7,2016-01-19T09:30:00.000Z
2013Q4,99.3,2016-01-19T09:30:00.000Z
2014Q1,99.4,2016-01-19T09:30:00.000Z
2014Q2,100.1,2016-01-19T09:30:00.000Z
2014Q3,100.1,2016-01-19T09:30:00.000Z
2014Q4,100.2,2016-01-19T09:30:00.000Z
2015Q1,99.5,2016-01-19T09:30:00.000Z
2015Q2,100.1,2016-01-19T09:30:00.000Z
2015Q3,100.1,2016-01-19T09:30:00.000Z
2015Q4,100.3,2016-01-19T09:30:00.000Z
2016Q1,99.8,2016-04-12T08:30:00.000Z
2016Q2,100.4,2016-07-18T23:00:00.000Z
2016Q3,100.9,2016-10-17T23:00:00.000Z
2016Q4,101.5,2017-01-17T00:00:00.000Z
2017Q1,102.0,2017-04-10T23:00:00.000Z
2017Q2,103.2,2017-07-17T23:00:00.000Z
2017Q3,103.7,2017-10-16T23:00:00.000Z
2017Q4,104.6,2018-01-16T00:00:00.000Z
2018Q1,104.7,2018-04-17T23:00:00.000Z
2018Q2,105.7,2018-07-17T23:00:00.000Z
2018Q3,106.3,2018-10-16T23:00:00.000Z
2018Q4,106.9,2019-01-16T00:00:00.000Z
2019Q1,106.7,2019-04-16T23:00:00.000Z
2019Q2,107.8,2019-07-16T23:00:00.000Z
2019Q3,108.3,2019-10-15T23:00:00.000Z
2019Q4,108.5,2020-01-15T00:00:00.000Z
2020Q1,108.5,2020-04-21T23:00:00.000Z
2020Q2,108.5,2020-07-14T23:00:00.000Z
2020Q3,108.9,2020-10-20T23:00:00.000Z
2020Q4,109.0,2021-01-20T00:00:00.000Z
2021Q1,109.2,2021-04-20T23:00:00.000Z
2021Q2,110.7,2021-07-13T23:00:00.000Z
2021Q3,111.9,2021-10-19T23:00:00.000Z
2021Q4,114.4,2022-01-19T00:00:00.000Z
2022Q1,115.9,2022-04-12T23:00:00.000Z
2022Q2,120.9,2022-07-19T23:00:00.000Z
2022Q3,123.2,2022-10-18T23:00:00.000Z
2022Q4,126.7,2023-01-18T00:00:00.000Z
2023Q1,127.7,2023-04-18T23:00:00.000Z
2023Q2,131.1,2023-07-18T23:00:00.000Z
2023Q3,131.4,2023-10-17T23:00:00.000Z
2023Q4,132.0,2024-01-17T00:00:00.000Z
2024Q1,132.3,2024-04-16T23:00:00.000Z
