period,value,updated
2001Q1,3.9,2015-10-13T23:00:00.000Z
2001Q2,5.0,2023-09-11T23:00:00.000Z
2001Q3,5.2,2015-10-13T23:00:00.000Z
2001Q4,4.7,2015-10-13T23:00:00.000Z
2002Q1,4.8,2023-09-11T23:00:00.000Z
2002Q2,4.3,2026-08-17T23:00:00.000Z
2002Q3,3.5,2015-10-13T23:00:00.000Z
2002Q4,3.0,2015-10-13T23:00:00.000Z
2003Q1,3.1,2026-08-17T23:00:00.000Z
2003Q2,3.1,2015-10-13T23:00:00.000Z
2003Q3,3.4,2015-10-13T23:00:00.000Z
2003Q4,3.9,2015-10-13T23:00:00.000Z
2004Q1,3.4,2015-10-13T23:00:00.000Z
2004Q2,3.6,2015-10-13T23:00:00.000Z
2004Q3,3.8,2015-10-13T23:00:00.000Z
2004Q4,3.9,2015-10-13T23:00:00.000Z
2005Q1,4.3,2015-10-13T23:00:00.000Z
2005Q2,4.2,2019-01-22T00:00:00.000Z
2005Q3,4.5,2015-10-13T23:00:00.000Z
2005Q4,4.1,2023-09-11T23:00:00.000Z
2006Q1,4.1,2026-08-17T23:00:00.000Z
2006Q2,4.0,2015-10-13T23:00:00.000Z
2006Q3,3.5,2015-10-13T23:00:00.000Z
2006Q4,4.1,2023-09-11T23:00:00.000Z
2007Q1,3.9,2015-10-13T23:00:00.000Z
2007Q2,4.1,2015-10-13T23:00:00.000Z
2007Q3,4.6,2023-09-11T23:00:00.000Z
2007Q4,4.0,2015-10-13T23:00:00.000Z
2008Q1,4.2,2017-06-13T23:00:00.000Z
2008Q2,4.0,2019-01-22T00:00:00.000Z
2008Q3,3.3,2015-10-13T23:00:00.000Z
2008Q4,3.3,2015-10-13T23:00:00.000Z
2009Q1,2.5,2015-10-13T23:00:00.000Z
2009Q2,2.0,2021-08-16T23:00:00.000Z
2009Q3,1.3,2023-09-11T23:00:00.000Z
2009Q4,1.1,2015-10-13T23:00:00.000Z
2010Q1,1.8,2015-10-13T23:00:00.000Z
2010Q2,1.3,2015-10-13T23:00:00.000Z
2010Q3,2.2,2015-10-13T23:00:00.000Z
2010Q4,2.2,2015-10-13T23:00:00.000Z
2011Q1,2.0,2015-10-13T23:00:00.000Z
2011Q2,2.1,2015-10-13T23:00:00.000Z
2011Q3,1.6,2015-10-13T23:00:00.000Z
2011Q4,1.9,2015-10-13T23:00:00.000Z
2012Q1,1.5,2015-10-13T23:00:00.000Z
2012Q2,1.8,2015-10-13T23:00:00.000Z
2012Q3,1.8,2016-12-14T00:00:00.000Z
2012Q4,1.3,2015-10-13T23:00:00.000Z
2013Q1,0.8,2015-10-13T23:00:00.000Z
2013Q2,1.0,2017-06-13T23:00:00.000Z
2013Q3,0.7,2017-06-13T23:00:00.000Z
2013Q4,0.9,2017-06-13T23:00:00.000Z
2014Q1,1.2,2026-08-17T23:00:00.000Z
2014Q2,0.5,2017-06-13T23:00:00.000Z
2014Q3,1.1,2019-01-22T00:00:00.000Z
2014Q4,1.6,2019-01-22T00:00:00.000Z
2015Q1,2.2,2019-01-22T00:00:00.000Z
2015Q2,2.7,2019-01-22T00:00:00.000Z
2015Q3,2.4,2019-01-22T00:00:00.000Z
2015Q4,1.9,2019-01-22T00:00:00.000Z
2016Q1,2.3,2019-01-22T00:00:00.000Z
2016Q2,2.3,2016-08-16T23:00:00.000Z
2016Q3,2.4,2016-11-16T00:00:00.000Z
2016Q4,2.5,2018-03-20T00:00:00.000Z
2017Q1,1.9,2026-08-17T23:00:00.000Z
2017Q2,2.0,2025-05-12T23:00:00.000Z
2017Q3,2.2,2017-11-15T00:00:00.000Z
2017Q4,2.5,2026-08-17T23:00:00.000Z
2018Q1,2.9,2018-05-14T23:00:00.000Z
2018Q2,2.7,2018-08-13T23:00:00.000Z
2018Q3,3.2,2020-02-18T00:00:00.000Z
2018Q4,3.4,2019-02-19T00:00:00.000Z
2019Q1,3.4,2023-09-11T23:00:00.000Z
2019Q2,3.9,2021-08-16T23:00:00.000Z
2019Q3,3.6,2021-08-16T23:00:00.000Z
2019Q4,3.2,2020-02-18T00:00:00.000Z
2020Q1,2.7,2021-06-14T23:00:00.000Z
2020Q2,-0.2,2021-06-14T23:00:00.000Z
2020Q3,1.9,2023-09-11T23:00:00.000Z
2020Q4,4.0,2025-05-12T23:00:00.000Z
2021Q1,4.6,2022-06-13T23:00:00.000Z
2021Q2,7.4,2025-05-12T23:00:00.000Z
2021Q3,5.1,2025-05-12T23:00:00.000Z
2021Q4,3.9,2025-04-14T23:00:00.000Z
2022Q1,4.6,2025-04-14T23:00:00.000Z
2022Q2,4.9,2025-04-14T23:00:00.000Z
2022Q3,5.8,2025-04-14T23:00:00.000Z
2022Q4,6.7,2023-02-14T00:00:00.000Z
2023Q1,6.9,2024-03-12T00:00:00.000Z
2023Q2,7.8,2023-08-14T23:00:00.000Z
2023Q3,7.8,2023-12-12T00:00:00.000Z
2023Q4,6.2,2024-02-13T00:00:00.000Z
2024Q1,5.9,2026-08-17T23:00:00.000Z
2024Q2,5.5,2025-04-14T23:00:00.000Z
2024Q3,5.1,2025-04-14T23:00:00.000Z
2024Q4,5.9,2025-02-18T00:00:00.000Z
2025Q1,5.6,2026-06-17T23:00:00.000Z
2025Q2,4.9,2026-09-14T23:00:00.000Z
2025Q3,4.7,2025-12-16T00:00:00.000Z
2025Q4,4.1,2026-03-19T00:00:00.000Z
2026Q1,3.4,2026-05-18T23:00:00.000Z
2026Q2,3.5,2026-08-17T23:00:00.000Z
