period,value,updated
1989Q1,6.8,2018-12-19T00:00:00.000Z
1989Q2,6.4,2018-12-19T00:00:00.000Z
1989Q3,6.6,2018-12-19T00:00:00.000Z
1989Q4,6.9,2018-12-19T00:00:00.000Z
1990Q1,7.1,2018-12-19T00:00:00.000Z
1990Q2,8.7,2018-12-19T00:00:00.000Z
1990Q3,9.6,2018-12-19T00:00:00.000Z
1990Q4,10.0,2018-12-19T00:00:00.000Z
1991Q1,10.0,2015-10-12T23:00:00.000Z
1991Q2,11.8,2018-12-19T00:00:00.000Z
1991Q3,11.1,2018-12-19T00:00:00.000Z
1991Q4,10.4,2018-12-19T00:00:00.000Z
1992Q1,9.6,2018-12-19T00:00:00.000Z
1992Q2,6.5,2018-12-19T00:00:00.000Z
1992Q3,5.8,2018-12-19T00:00:00.000Z
1992Q4,5.3,2015-10-12T23:00:00.000Z
1993Q1,5.1,2018-12-19T00:00:00.000Z
1993Q2,4.9,2018-12-19T00:00:00.000Z
1993Q3,4.9,2015-10-12T23:00:00.000Z
1993Q4,4.7,2018-12-19T00:00:00.000Z
1994Q1,4.2,2015-10-12T23:00:00.000Z
1994Q2,3.3,2018-12-19T00:00:00.000Z
1994Q3,3.1,2015-10-12T23:00:00.000Z
1994Q4,2.8,2018-12-19T00:00:00.000Z
1995Q1,3.1,2015-10-12T23:00:00.000Z
1995Q2,3.2,2018-12-19T00:00:00.000Z
1995Q3,3.2,2018-12-19T00:00:00.000Z
1995Q4,3.3,2018-12-19T00:00:00.000Z
1996Q1,3.2,2018-12-19T00:00:00.000Z
1996Q2,3.0,2018-12-19T00:00:00.000Z
1996Q3,3.3,2018-12-19T00:00:00.000Z
1996Q4,3.4,2018-12-19T00:00:00.000Z
1997Q1,3.7,2015-10-12T23:00:00.000Z
1997Q2,3.7,2015-10-12T23:00:00.000Z
1997Q3,3.7,2015-10-12T23:00:00.000Z
1997Q4,3.9,2015-10-12T23:00:00.000Z
1998Q1,3.8,2015-10-12T23:00:00.000Z
1998Q2,3.8,2015-10-12T23:00:00.000Z
1998Q3,3.7,2015-10-12T23:00:00.000Z
1998Q4,3.7,2015-10-12T23:00:00.000Z
1999Q1,3.5,2015-10-12T23:00:00.000Z
1999Q2,3.5,2015-10-12T23:00:00.000Z
1999Q3,3.4,2015-10-12T23:00:00.000Z
1999Q4,3.4,2015-10-12T23:00:00.000Z
2000Q1,3.4,2015-10-12T23:00:00.000Z
2000Q2,3.0,2015-10-12T23:00:00.000Z
2000Q3,3.3,2015-10-12T23:00:00.000Z
2000Q4,3.4,2015-10-12T23:00:00.000Z
2001Q1,3.3,2015-10-12T23:00:00.000Z
2001Q2,4.3,2015-10-12T23:00:00.000Z
2001Q3,4.4,2015-10-12T23:00:00.000Z
2001Q4,3.8,2015-10-12T23:00:00.000Z
2002Q1,4.1,2015-10-12T23:00:00.000Z
2002Q2,4.1,2015-10-12T23:00:00.000Z
2002Q3,4.2,2015-10-12T23:00:00.000Z
2002Q4,4.7,2015-10-12T23:00:00.000Z
2003Q1,4.4,2015-10-12T23:00:00.000Z
2003Q2,3.7,2015-10-12T23:00:00.000Z
2003Q3,3.4,2015-10-12T23:00:00.000Z
2003Q4,3.1,2015-10-12T23:00:00.000Z
2004Q1,3.2,2015-10-12T23:00:00.000Z
2004Q2,3.2,2015-10-12T23:00:00.000Z
2004Q3,3.4,2015-10-12T23:00:00.000Z
2004Q4,3.5,2015-10-12T23:00:00.000Z
2005Q1,3.8,2015-10-12T23:00:00.000Z
2005Q2,4.1,2015-10-12T23:00:00.000Z
2005Q3,4.5,2015-10-12T23:00:00.000Z
2005Q4,4.1,2015-10-12T23:00:00.000Z
2006Q1,3.8,2015-10-12T23:00:00.000Z
2006Q2,3.5,2015-10-12T23:00:00.000Z
2006Q3,3.1,2015-10-12T23:00:00.000Z
2006Q4,3.7,2015-10-12T23:00:00.000Z
2007Q1,3.7,2015-10-12T23:00:00.000Z
2007Q2,3.6,2015-10-12T23:00:00.000Z
2007Q3,3.6,2015-10-12T23:00:00.000Z
2007Q4,3.3,2015-10-12T23:00:00.000Z
2008Q1,3.3,2015-10-12T23:00:00.000Z
2008Q2,3.8,2015-10-12T23:00:00.000Z
2008Q3,4.3,2015-10-12T23:00:00.000Z
2008Q4,4.4,2015-10-12T23:00:00.000Z
2009Q1,4.1,2015-10-12T23:00:00.000Z
2009Q2,3.5,2015-10-12T23:00:00.000Z
2009Q3,2.8,2015-10-12T23:00:00.000Z
2009Q4,2.4,2015-10-12T23:00:00.000Z
2010Q1,3.1,2015-10-12T23:00:00.000Z
2010Q2,3.6,2015-10-12T23:00:00.000Z
2010Q3,3.8,2015-10-12T23:00:00.000Z
2010Q4,3.8,2015-10-12T23:00:00.000Z
2011Q1,4.2,2015-10-12T23:00:00.000Z
2011Q2,4.5,2015-10-12T23:00:00.000Z
2011Q3,4.4,2015-10-12T23:00:00.000Z
2011Q4,4.3,2015-10-12T23:00:00.000Z
2012Q1,3.5,2015-10-12T23:00:00.000Z
2012Q2,3.2,2015-10-12T23:00:00.000Z
2012Q3,3.3,2015-10-12T23:00:00.000Z
2012Q4,4.0,2015-10-12T23:00:00.000Z
2013Q1,3.8,2015-10-12T23:00:00.000Z
2013Q2,3.4,2015-10-12T23:00:00.000Z
2013Q3,3.2,2015-10-12T23:00:00.000Z
2013Q4,2.6,2015-10-12T23:00:00.000Z
2014Q1,2.4,2015-10-12T23:00:00.000Z
2014Q2,2.5,2015-10-12T23:00:00.000Z
2014Q3,2.5,2015-10-12T23:00:00.000Z
2014Q4,2.4,2015-10-12T23:00:00.000Z
2015Q1,2.4,2015-10-12T23:00:00.000Z
2015Q2,2.2,2015-10-12T23:00:00.000Z
2015Q3,2.4,2015-10-12T23:00:00.000Z
2015Q4,2.5,2016-01-19T09:30:00.000Z
2016Q1,2.5,2016-04-12T08:30:00.000Z
2016Q2,2.6,2016-07-18T23:00:00.000Z
2016Q3,2.7,2016-10-17T23:00:00.000Z
2016Q4,2.3,2017-01-17T00:00:00.000Z
2017Q1,2.5,2017-04-10T23:00:00.000Z
2017Q2,2.8,2017-07-17T23:00:00.000Z
2017Q3,2.7,2017-10-16T23:00:00.000Z
2017Q4,2.7,2018-01-16T00:00:00.000Z
2018Q1,2.6,2018-04-17T23:00:00.000Z
2018Q2,2.3,2018-07-17T23:00:00.000Z
2018Q3,2.4,2018-10-16T23:00:00.000Z
2018Q4,2.5,2019-01-16T00:00:00.000Z
2019Q1,2.5,2019-04-16T23:00:00.000Z
2019Q2,2.7,2019-07-16T23:00:00.000Z
2019Q3,2.4,2019-10-15T23:00:00.000Z
2019Q4,2.4,2020-01-15T00:00:00.000Z
2020Q1,2.4,2020-04-21T23:00:00.000Z
2020Q2,1.9,2020-07-14T23:00:00.000Z
2020Q3,1.4,2020-10-20T23:00:00.000Z
2020Q4,1.4,2021-01-20T00:00:00.000Z
2021Q1,1.6,2021-04-20T23:00:00.000Z
2021Q2,1.9,2021-07-13T23:00:00.000Z
2021Q3,2.4,2021-10-19T23:00:00.000Z
2021Q4,3.3,2022-01-19T00:00:00.000Z
2022Q1,3.6,2022-04-12T23:00:00.000Z
2022Q2,4.9,2022-07-19T23:00:00.000Z
2022Q3,5.9,2022-10-18T23:00:00.000Z
2022Q4,6.5,2023-01-18T00:00:00.000Z
2023Q1,6.4,2023-04-18T23:00:00.000Z
2023Q2,7.2,2023-07-18T23:00:00.000Z
2023Q3,7.1,2023-10-17T23:00:00.000Z
2023Q4,6.4,2024-01-17T00:00:00.000Z
2024Q1,6.2,2024-04-16T23:00:00.000Z
2024Q2,5.8,2024-07-16T23:00:00.000Z
2024Q3,5.2,2024-10-15T23:00:00.000Z
2024Q4,4.8,2025-01-15T00:00:00.000Z
2025Q1,4.9,2025-04-15T23:00:00.000Z
2025Q2,4.9,2025-07-15T23:00:00.000Z
2025Q3,4.8,2025-10-21T23:00:00.000Z
2025Q4,4.5,2026-01-21T00:00:00.000Z
2026Q1,4.4,2026-04-21T23:00:00.000Z
2026Q2,3.5,2026-07-21T23:00:00.000Z
