period,value,updated
1968Q1,0.8772539682539682,
1968Q2,0.9964193548387095,
1968Q3,0.9485846153846154,
1968Q4,0.8367812500000001,
1969Q1,0.7966349206349208,
1969Q2,0.7295322580645159,
1969Q3,0.7086461538461537,
1969Q4,0.7776718749999999,
1970Q1,0.7808196721311474,
1970Q2,0.7174531249999999,
1970Q3,0.7357384615384617,
1970Q4,0.7161076923076922,
1971Q1,0.675761904761905,
1971Q2,0.6862903225806454,
1971Q3,0.6254000000000002,
1971Q4,0.5353384615384615,
1972Q1,0.5771093750000001,
1972Q2,0.605984126984127,
1972Q3,0.7276874999999998,
1972Q4,0.7841746031746032,
1973Q1,0.8934531250000003,
1973Q2,0.937483870967742,
1973Q3,1.0917499999999998,
1973Q4,1.2227619047619047,
1974Q1,2.0627936507936506,
1974Q2,2.1169838709677413,
1974Q3,1.8196153846153849,
1974Q4,1.9895156250000003,
1975Q1,1.8115245901639339,
1975Q2,1.9005937499999996,
1975Q3,2.2063384615384614,
1975Q4,2.0798749999999995,
1976Q1,2.0638125,
1976Q2,2.5193064516129033,
1976Q3,2.5170769230769228,
1976Q4,2.6102031249999995,
1977Q1,2.6903174603174604,
1977Q2,2.706770491803279,
1977Q3,2.5998307692307696,
1977Q4,2.6319523809523817,
1978Q1,2.6242580645161286,
1978Q2,2.840904761904762,
1978Q3,2.84490625,
1978Q4,2.981460317460317,
1979Q1,3.4611249999999996,
1979Q2,3.918245901639344,
1979Q3,4.782687499999999,
1979Q4,8.494640625,
1980Q1,14.724640625000001,
1980Q2,6.350081967213115,
1980Q3,7.303000000000001,
1980Q4,7.733078124999997,
1981Q1,5.773306451612902,
1981Q2,5.175377049180329,
1981Q3,5.0055,
1981Q4,4.6555625,
1982Q1,4.230064516129033,
1982Q2,3.6405409836065563,
1982Q3,4.302338461538461,
1982Q4,6.017796875000003,
1983Q1,7.950328125,
1983Q2,7.808032786885246,
1983Q3,7.961753846153846,
1983Q4,6.3124761904761915,
1984Q1,6.26378125,
1984Q2,6.432377049180329,
1984Q3,5.727109374999999,
1984Q4,5.890365079365078,
1985Q1,5.410730158730159,
1985Q2,5.003836065573772,
1985Q3,4.454615384615384,
1985Q4,4.228593749999998,
1986Q1,4.08595081967213,
1986Q2,3.42031746031746,
1986Q3,3.564876923076922,
1986Q4,3.8702500000000004,
1987Q1,3.6026190476190476,
1987Q2,4.723245901639344,
1987Q3,4.762076923076925,
1987Q4,4.02874603174603,
1988Q1,3.609781250000001,
1988Q2,3.6386065573770487,
1988Q3,3.9624769230769235,
1988Q4,3.4858571428571445,
1989Q1,3.398435483870966,
1989Q2,3.382253968253968,
1989Q3,3.245781249999999,
1989Q4,3.4013968253968265,
1990Q1,3.1405312499999996,
1990Q2,2.994983606557377,
1990Q3,2.6309375000000004,
1990Q4,2.1698437500000005,
1991Q1,2.0536774193548384,
1991Q2,2.426016129032258,
1991Q3,2.45036923076923,
1991Q4,2.287468750000002,
1992Q1,2.3309687500000003,
1992Q2,2.248524590163934,
1992Q3,2.0280769230769224,
1992Q4,2.37621875,
1993Q1,2.482190476190477,
1993Q2,2.77972131147541,
1993Q3,3.120923076923078,
1993Q4,3.093921875000001,
1994Q1,3.5505873015873024,
1994Q2,3.5725737704918026,
1994Q3,3.439538461538463,
1994Q4,3.2464285714285728,
1995Q1,2.976390625,
1995Q2,3.4228032786885247,
1995Q3,3.389421875000001,
1995Q4,3.3901746031746023,
