period,value,updated
1971Q1,3.8,2015-10-13T23:00:00.000Z
1971Q2,4.1,2015-10-13T23:00:00.000Z
1971Q3,4.2,2015-10-13T23:00:00.000Z
1971Q4,4.4,2015-10-13T23:00:00.000Z
1972Q1,4.5,2015-10-13T23:00:00.000Z
1972Q2,4.4,2015-10-13T23:00:00.000Z
1972Q3,4.3,2015-10-13T23:00:00.000Z
1972Q4,4.2,2015-10-13T23:00:00.000Z
1973Q1,3.9,2015-10-13T23:00:00.000Z
1973Q2,3.7,2015-10-13T23:00:00.000Z
1973Q3,3.6,2015-10-13T23:00:00.000Z
1973Q4,3.4,2015-10-13T23:00:00.000Z
1974Q1,3.6,2015-10-13T23:00:00.000Z
1974Q2,3.6,2015-10-13T23:00:00.000Z
1974Q3,3.7,2015-10-13T23:00:00.000Z
1974Q4,3.7,2015-10-13T23:00:00.000Z
1975Q1,4.0,2015-10-13T23:00:00.000Z
1975Q2,4.3,2015-10-13T23:00:00.000Z
1975Q3,4.7,2015-10-13T23:00:00.000Z
1975Q4,5.0,2015-10-13T23:00:00.000Z
1976Q1,5.3,2015-10-13T23:00:00.000Z
1976Q2,5.4,2015-10-13T23:00:00.000Z
1976Q3,5.5,2015-10-13T23:00:00.000Z
1976Q4,5.5,2015-10-13T23:00:00.000Z
1977Q1,5.5,2015-10-13T23:00:00.000Z
1977Q2,5.5,2015-10-13T23:00:00.000Z
1977Q3,5.7,2015-10-13T23:00:00.000Z
1977Q4,5.7,2015-10-13T23:00:00.000Z
1978Q1,5.6,2015-10-13T23:00:00.000Z
1978Q2,5.6,2015-10-13T23:00:00.000Z
1978Q3,5.5,2015-10-13T23:00:00.000Z
1978Q4,5.4,2015-10-13T23:00:00.000Z
1979Q1,5.4,2015-10-13T23:00:00.000Z
1979Q2,5.3,2015-10-13T23:00:00.000Z
1979Q3,5.4,2015-10-13T23:00:00.000Z
1979Q4,5.5,2015-10-13T23:00:00.000Z
1980Q1,5.8,2015-10-13T23:00:00.000Z
1980Q2,6.3,2015-10-13T23:00:00.000Z
1980Q3,7.1,2015-10-13T23:00:00.000Z
1980Q4,8.0,2015-10-13T23:00:00.000Z
1981Q1,8.9,2015-10-13T23:00:00.000Z
1981Q2,9.6,2015-10-13T23:00:00.000Z
1981Q3,9.9,2015-10-13T23:00:00.000Z
1981Q4,10.2,2015-10-13T23:00:00.000Z
1982Q1,10.4,2015-10-13T23:00:00.000Z
1982Q2,10.6,2015-10-13T23:00:00.000Z
1982Q3,10.8,2015-10-13T23:00:00.000Z
1982Q4,11.1,2015-10-13T23:00:00.000Z
1983Q1,11.3,2015-10-13T23:00:00.000Z
1983Q2,11.4,2015-10-13T23:00:00.000Z
1983Q3,11.5,2015-10-13T23:00:00.000Z
1983Q4,11.7,2015-10-13T23:00:00.000Z
1984Q1,11.8,2015-10-13T23:00:00.000Z
1984Q2,11.9,2015-10-13T23:00:00.000Z
1984Q3,11.7,2015-10-13T23:00:00.000Z
1984Q4,11.6,2015-10-13T23:00:00.000Z
1985Q1,11.5,2015-10-13T23:00:00.000Z
1985Q2,11.4,2015-10-13T23:00:00.000Z
1985Q3,11.3,2015-10-13T23:00:00.000Z
1985Q4,11.3,2015-10-13T23:00:00.000Z
1986Q1,11.3,2015-10-13T23:00:00.000Z
1986Q2,11.3,2015-10-13T23:00:00.000Z
1986Q3,11.4,2015-10-13T23:00:00.000Z
1986Q4,11.3,2015-10-13T23:00:00.000Z
1987Q1,11.1,2015-10-13T23:00:00.000Z
1987Q2,10.7,2015-10-13T23:00:00.000Z
1987Q3,10.2,2015-10-13T23:00:00.000Z
1987Q4,9.7,2015-10-13T23:00:00.000Z
1988Q1,9.2,2015-10-13T23:00:00.000Z
1988Q2,8.7,2015-10-13T23:00:00.000Z
1988Q3,8.4,2015-10-13T23:00:00.000Z
1988Q4,8.0,2015-10-13T23:00:00.000Z
1989Q1,7.6,2015-10-13T23:00:00.000Z
1989Q2,7.2,2015-10-13T23:00:00.000Z
1989Q3,7.1,2015-10-13T23:00:00.000Z
1989Q4,7.0,2015-10-13T23:00:00.000Z
1990Q1,6.9,2015-10-13T23:00:00.000Z
1990Q2,6.9,2015-10-13T23:00:00.000Z
1990Q3,7.1,2015-10-13T23:00:00.000Z
1990Q4,7.5,2015-10-13T23:00:00.000Z
1991Q1,8.0,2015-10-13T23:00:00.000Z
1991Q2,8.7,2015-10-13T23:00:00.000Z
1991Q3,9.2,2015-10-13T23:00:00.000Z
1991Q4,9.5,2015-10-13T23:00:00.000Z
1992Q1,9.7,2015-10-13T23:00:00.000Z
1992Q2,9.8,2015-10-13T23:00:00.000Z
1992Q3,9.9,2015-10-13T23:00:00.000Z
1992Q4,10.4,2015-10-13T23:00:00.000Z
1993Q1,10.6,2015-10-13T23:00:00.000Z
1993Q2,10.4,2015-10-13T23:00:00.000Z
1993Q3,10.2,2015-10-13T23:00:00.000Z
1993Q4,10.3,2015-10-13T23:00:00.000Z
1994Q1,9.9,2015-10-13T23:00:00.000Z
1994Q2,9.7,2015-10-13T23:00:00.000Z
1994Q3,9.4,2015-10-13T23:00:00.000Z
1994Q4,9.0,2015-10-13T23:00:00.000Z
1995Q1,8.9,2015-10-13T23:00:00.000Z
1995Q2,8.7,2015-10-13T23:00:00.000Z
1995Q3,8.6,2015-10-13T23:00:00.000Z
1995Q4,8.3,2015-10-13T23:00:00.000Z
1996Q1,8.2,2015-10-13T23:00:00.000Z
1996Q2,8.3,2015-10-13T23:00:00.000Z
1996Q3,8.1,2015-10-13T23:00:00.000Z
1996Q4,7.8,2015-10-13T23:00:00.000Z
1997Q1,7.3,2015-10-13T23:00:00.000Z
1997Q2,7.2,2015-10-13T23:00:00.000Z
1997Q3,6.8,2015-10-13T23:00:00.000Z
1997Q4,6.5,2015-10-13T23:00:00.000Z
1998Q1,6.4,2015-10-13T23:00:00.000Z
1998Q2,6.3,2015-10-13T23:00:00.000Z
1998Q3,6.2,2015-10-13T23:00:00.000Z
1998Q4,6.1,2015-10-13T23:00:00.000Z
1999Q1,6.2,2015-10-13T23:00:00.000Z
1999Q2,6.0,2015-10-13T23:00:00.000Z
1999Q3,5.9,2015-10-13T23:00:00.000Z
1999Q4,5.8,2015-10-13T23:00:00.000Z
2000Q1,5.8,2015-10-13T23:00:00.000Z
2000Q2,5.5,2015-10-13T23:00:00.000Z
2000Q3,5.3,2015-10-13T23:00:00.000Z
2000Q4,5.2,2015-10-13T23:00:00.000Z
2001Q1,5.1,2015-10-13T23:00:00.000Z
2001Q2,5.0,2015-10-13T23:00:00.000Z
2001Q3,5.1,2015-10-13T23:00:00.000Z
2001Q4,5.2,2015-10-13T23:00:00.000Z
2002Q1,5.2,2015-10-13T23:00:00.000Z
2002Q2,5.2,2015-10-13T23:00:00.000Z
2002Q3,5.3,2015-10-13T23:00:00.000Z
2002Q4,5.1,2015-10-13T23:00:00.000Z
2003Q1,5.2,2015-10-13T23:00:00.000Z
2003Q2,4.9,2015-10-13T23:00:00.000Z
2003Q3,5.0,2015-10-13T23:00:00.000Z
2003Q4,4.9,2015-10-13T23:00:00.000Z
2004Q1,4.8,2015-10-13T23:00:00.000Z
2004Q2,4.8,2015-10-13T23:00:00.000Z
2004Q3,4.7,2015-10-13T23:00:00.000Z
2004Q4,4.7,2015-10-13T23:00:00.000Z
2005Q1,4.7,2015-10-13T23:00:00.000Z
2005Q2,4.8,2015-10-13T23:00:00.000Z
2005Q3,4.7,2015-10-13T23:00:00.000Z
2005Q4,5.1,2015-10-13T23:00:00.000Z
2006Q1,5.2,2015-10-13T23:00:00.000Z
2006Q2,5.5,2015-10-13T23:00:00.000Z
2006Q3,5.5,2015-10-13T23:00:00.000Z
2006Q4,5.5,2015-10-13T23:00:00.000Z
2007Q1,5.5,2015-10-13T23:00:00.000Z
2007Q2,5.4,2015-10-13T23:00:00.000Z
2007Q3,5.3,2015-10-13T23:00:00.000Z
2007Q4,5.2,2015-10-13T23:00:00.000Z
2008Q1,5.2,2015-10-13T23:00:00.000Z
2008Q2,5.4,2015-10-13T23:00:00.000Z
2008Q3,5.9,2015-10-13T23:00:00.000Z
2008Q4,6.4,2015-10-13T23:00:00.000Z
2009Q1,7.1,2015-10-13T23:00:00.000Z
2009Q2,7.8,2015-10-13T23:00:00.000Z
2009Q3,7.8,2015-10-13T23:00:00.000Z
2009Q4,7.8,2015-10-13T23:00:00.000Z
2010Q1,8.0,2015-10-13T23:00:00.000Z
2010Q2,7.9,2015-10-13T23:00:00.000Z
2010Q3,7.8,2015-10-13T23:00:00.000Z
2010Q4,7.9,2015-10-13T23:00:00.000Z
2011Q1,7.8,2015-10-13T23:00:00.000Z
2011Q2,7.9,2015-10-13T23:00:00.000Z
2011Q3,8.3,2015-10-13T23:00:00.000Z
2011Q4,8.4,2015-10-13T23:00:00.000Z
2012Q1,8.2,2015-10-13T23:00:00.000Z
2012Q2,8.0,2015-10-13T23:00:00.000Z
2012Q3,7.8,2024-12-17T00:00:00.000Z
2012Q4,7.8,2015-10-13T23:00:00.000Z
2013Q1,7.8,2024-12-17T00:00:00.000Z
2013Q2,7.7,2024-12-17T00:00:00.000Z
2013Q3,7.6,2015-10-13T23:00:00.000Z
2013Q4,7.2,2015-10-13T23:00:00.000Z
2014Q1,6.7,2024-12-17T00:00:00.000Z
2014Q2,6.3,2015-10-13T23:00:00.000Z
2014Q3,6.0,2015-10-13T23:00:00.000Z
2014Q4,5.7,2015-10-13T23:00:00.000Z
2015Q1,5.5,2024-12-17T00:00:00.000Z
2015Q2,5.6,2015-10-13T23:00:00.000Z
2015Q3,5.3,2024-12-17T00:00:00.000Z
2015Q4,5.1,2016-03-16T09:30:00.000Z
2016Q1,5.1,2016-05-18T08:30:00.000Z
2016Q2,4.9,2024-12-17T00:00:00.000Z
2016Q3,4.8,2024-12-17T00:00:00.000Z
2016Q4,4.7,2024-12-17T00:00:00.000Z
2017Q1,4.6,2017-05-16T23:00:00.000Z
2017Q2,4.4,2024-12-17T00:00:00.000Z
2017Q3,4.3,2017-11-15T00:00:00.000Z
2017Q4,4.4,2018-02-21T00:00:00.000Z
2018Q1,4.2,2024-12-17T00:00:00.000Z
2018Q2,4.0,2024-12-17T00:00:00.000Z
2018Q3,4.1,2024-12-17T00:00:00.000Z
2018Q4,4.0,2024-12-17T00:00:00.000Z
2019Q1,3.8,2024-12-17T00:00:00.000Z
2019Q2,3.9,2024-12-17T00:00:00.000Z
2019Q3,3.9,2024-02-13T00:00:00.000Z
2019Q4,3.7,2024-12-17T00:00:00.000Z
2020Q1,4.1,2024-02-13T00:00:00.000Z
2020Q2,4.1,2024-12-17T00:00:00.000Z
2020Q3,5.0,2024-02-13T00:00:00.000Z
2020Q4,5.3,2024-02-13T00:00:00.000Z
2021Q1,4.9,2024-12-17T00:00:00.000Z
