period,g,cpi,u,i,oil,usdgbp,p,he
1955Q2,0.1,,,,,,,
1955Q3,1.7,,,,,,,
1955Q4,-0.6,,,,,,,
1956Q1,1.2,,,,,,,
1956Q2,-0.1,,,,,,,
1956Q3,-0.1,,,,,,,
1956Q4,0.6,,,,,,,
1957Q1,1.8,,,,,,,
1957Q2,0.0,,,,,,,
1957Q3,-0.6,,,,,,,
1957Q4,0.3,,,,,,,
1958Q1,2.1,,,,,,,
1958Q2,-2.5,,,,,,,
1958Q3,2.2,,,,,,,
1958Q4,0.3,,,,,,,
1959Q1,0.6,,,,,,,
1959Q2,1.6,,,,,,,
1959Q3,2.1,,,,,,,
1959Q4,2.5,,,,,,,
1960Q1,2.5,,,,,,,
1960Q2,-0.7,,,,,,,
1960Q3,1.5,,,,,,,
1960Q4,0.5,,,,,,,
1961Q1,1.7,,,,,,,
1961Q2,0.4,,,,,,,
1961Q3,-0.5,,,,,,,
1961Q4,-0.2,,,,,,,
1962Q1,0.5,,,,,,,
1962Q2,0.9,,,,,,,
1962Q3,0.6,,,,,,,
1962Q4,-0.4,,,,,,,
1963Q1,0.5,,,,,,,
1963Q2,4.3,,,,,,,
1963Q3,0.4,,,,,,,
1963Q4,2.3,,,,,,,
1964Q1,0.7,,,,,,,
1964Q2,1.9,,,,,,,
1964Q3,0.3,,,,,,,
1964Q4,1.6,,,,,,,
1965Q1,-0.3,,,,,,,
1965Q2,0.1,,,,,,,
1965Q3,0.8,,,,,,,
1965Q4,0.6,,,,,,,
1966Q1,0.2,,,,,,,
1966Q2,0.6,,,,,,,
1966Q3,0.3,,,,,,,
1966Q4,-0.4,,,,,,,
1967Q1,1.3,,,,,,,
1967Q2,1.4,,,,,,,
1967Q3,0.4,,,,,,,
1967Q4,0.5,,,,,,,
1968Q1,3.7,,,,,,,
1968Q2,-0.4,,,,,,,
1968Q3,1.9,,,,,,,
1968Q4,0.3,,,,,,,
1969Q1,-0.2,,,,,,,
1969Q2,0.7,,,,,,,
1969Q3,0.6,,,,,,,
1969Q4,0.5,,,,,,,
1970Q1,-0.6,,,,,,,
1970Q2,2.4,,,,,,,
1970Q3,1.0,,,,,,,
1970Q4,0.9,,,,,,,
1971Q1,-0.5,,3.8,,,,,
1971Q2,1.8,,4.1,,,,,
1971Q3,1.7,,4.2,,,,,
1971Q4,0.4,,4.4,,,,,
1972Q1,0.2,,4.5,,,,,
1972Q2,2.6,,4.4,,,,,
1972Q3,0.3,,4.3,,,,,
1972Q4,1.6,,4.2,,,,,
1973Q1,4.9,,3.9,,,,,
1973Q2,0.2,,3.7,,,,,
1973Q3,-0.9,,3.6,,,,,
1973Q4,-0.4,,3.4,,,,,
1974Q1,-2.8,,3.6,,,,,
1974Q2,1.4,,3.6,,,,,
1974Q3,0.6,,3.7,,,,,
1974Q4,-1.5,,3.7,,,,,
1975Q1,0.0,,4.0,10.2632,,2.4027,,
1975Q2,-1.6,,4.3,9.9609,,2.1844,,
1975Q3,-0.3,,4.7,10.7077,,2.0429,,
1975Q4,1.1,,5.0,11.7383,,2.0231,,
1976Q1,1.7,,5.3,9.8164,,1.915,,
1976Q2,-0.1,,5.4,10.5726,,1.7841,,
1976Q3,1.2,,5.5,11.8231,,1.6681,,
1976Q4,2.1,,5.5,14.7227,,1.7021,,
1977Q1,0.1,,5.5,12.2302,,1.7201,,
1977Q2,-0.7,,5.5,8.3893,,1.7202,,
1977Q3,0.6,,5.7,7.2462,,1.7475,,
1977Q4,1.7,,5.7,5.8492,,1.9185,,
1978Q1,0.9,,5.6,6.5323,,1.8625,,
1978Q2,1.1,,5.6,8.5675,,1.8605,,
1978Q3,1.4,,5.5,10.0,,1.9739,,
1978Q4,0.9,,5.4,11.3889,,2.041,,
1979Q1,-0.3,,5.4,13.0234,,2.0665,,
1979Q2,4.4,,5.3,12.4754,,2.1715,,
1979Q3,-2.2,,5.4,14.0,,2.202,,
1979Q4,1.0,,5.5,15.4531,,2.225,,
1980Q1,-1.0,,5.8,17.0,,2.164,,
1980Q2,-2.0,,6.3,17.0,,2.357,,
1980Q3,-0.1,,7.1,16.0308,,2.3883,,
1980Q4,-1.0,,8.0,15.2188,,2.392,,
1981Q1,-0.1,,8.9,13.5238,,2.242,,
1981Q2,0.3,,9.6,12.0,,1.9384,,
1981Q3,1.2,,9.9,12.5254,,1.8105,,
1981Q4,0.1,,10.2,14.6113,,1.911,,
1982Q1,0.2,,10.4,13.7758,,1.7833,,
1982Q2,1.0,,10.6,13.002,,1.743,,
1982Q3,0.2,,10.8,11.3538,,1.6947,,
1982Q4,0.7,,11.1,9.6758,,1.6175,,
1983Q1,2.0,,11.3,10.8145,,1.4816,,
1983Q2,0.7,,11.4,10.0051,,1.5346,,
1983Q3,1.2,,11.5,9.5606,,1.495,,
1983Q4,0.8,,11.7,9.0625,,1.452,,
1984Q1,0.9,,11.8,8.9414,,1.4415,,
1984Q2,-1.0,,11.9,8.8545,,1.3563,,
1984Q3,0.7,,11.7,10.9023,,1.2387,,
1984Q4,1.8,,11.6,9.9844,,1.158,,
1985Q1,1.0,,11.5,12.9226,,1.23,,
1985Q2,2.1,,11.4,12.4734,,1.312,,
1985Q3,0.0,,11.3,11.5827,,1.407,,
1985Q4,0.1,,11.3,11.375,,1.4455,,
1986Q1,1.0,,11.3,12.1127,,1.478,,
1986Q2,0.9,,11.3,10.3353,,1.5335,,
1986Q3,0.6,,11.4,9.875,,1.4477,,
1986Q4,1.9,,11.3,10.7188,,1.4837,,
1987Q1,0.7,,11.1,10.6607,,1.6042,,
1987Q2,1.5,,10.7,9.2111,18.78310344827586,1.6125,,
1987Q3,2.5,,10.2,9.475,19.063030303030303,1.629,,
1987Q4,1.2,,9.7,9.0391,17.904062499999995,1.887,,
