period,value,updated
1975Q1,2.4027,
1975Q2,2.1844,
1975Q3,2.0429,
1975Q4,2.0231,
1976Q1,1.915,
1976Q2,1.7841,
1976Q3,1.6681,
1976Q4,1.7021,
1977Q1,1.7201,
1977Q2,1.7202,
1977Q3,1.7475,
1977Q4,1.9185,
1978Q1,1.8625,
1978Q2,1.8605,
1978Q3,1.9739,
1978Q4,2.041,
1979Q1,2.0665,
1979Q2,2.1715,
1979Q3,2.202,
1979Q4,2.225,
1980Q1,2.164,
1980Q2,2.357,
1980Q3,2.3883,
1980Q4,2.392,
1981Q1,2.242,
1981Q2,1.9384,
1981Q3,1.8105,
1981Q4,1.911,
1982Q1,1.7833,
1982Q2,1.743,
1982Q3,1.6947,
1982Q4,1.6175,
1983Q1,1.4816,
1983Q2,1.5346,
1983Q3,1.495,
1983Q4,1.452,
1984Q1,1.4415,
1984Q2,1.3563,
1984Q3,1.2387,
1984Q4,1.158,
1985Q1,1.23,
1985Q2,1.312,
1985Q3,1.407,
1985Q4,1.4455,
1986Q1,1.478,
1986Q2,1.5335,
1986Q3,1.4477,
1986Q4,1.4837,
1987Q1,1.6042,
1987Q2,1.6125,
1987Q3,1.629,
1987Q4,1.887,
1988Q1,1.8845,
1988Q2,1.7055,
1988Q3,1.686,
1988Q4,1.808,
1989Q1,1.6855,
1989Q2,1.5502,
1989Q3,1.619,
1989Q4,1.6125,
1990Q1,1.6455,
1990Q2,1.744,
1990Q3,1.8705,
1990Q4,1.9295,
1991Q1,1.7385,
1991Q2,1.6215,
1991Q3,1.7505,
1991Q4,1.8678,
1992Q1,1.735,
1992Q2,1.903,
1992Q3,1.777,
1992Q4,1.515,
1993Q1,1.5062,
1993Q2,1.5005,
1993Q3,1.4982,
1993Q4,1.478,
1994Q1,1.4845,
1994Q2,1.5432,
1994Q3,1.5772,
1994Q4,1.5645,
1995Q1,1.628,
1995Q2,1.5908,
1995Q3,1.5825,
1995Q4,1.5505,
1996Q1,1.5262,
1996Q2,1.5537,
1996Q3,1.564,
1996Q4,1.712,
1997Q1,1.6303,
1997Q2,1.6636,
1997Q3,1.6153,
1997Q4,1.6453,
1998Q1,1.6745,
1998Q2,1.6673,
1998Q3,1.6997,
1998Q4,1.664,
1999Q1,1.6137,
1999Q2,1.5768,
1999Q3,1.6466,
1999Q4,1.6121,
2000Q1,1.5952,
2000Q2,1.5141,
2000Q3,1.4783,
2000Q4,1.495,
2001Q1,1.4217,
2001Q2,1.4066,
2001Q3,1.4699,
2001Q4,1.4556,
2002Q1,1.4241,
2002Q2,1.5258,
2002Q3,1.5726,
2002Q4,1.6095,
2003Q1,1.5805,
2003Q2,1.6502,
2003Q3,1.6614,
2003Q4,1.7905,
2004Q1,1.8379,
2004Q2,1.8137,
2004Q3,1.8094,
2004Q4,1.9199,
2005Q1,1.8904,
2005Q2,1.7925,
2005Q3,1.7688,
2005Q4,1.7166,
2006Q1,1.7345,
2006Q2,1.8494,
2006Q3,1.8682,
2006Q4,1.957,
2007Q1,1.9613,
2007Q2,2.0064,
2007Q3,2.0374,
2007Q4,1.9909,
2008Q1,1.9875,
2008Q2,1.9901,
2008Q3,1.7821,
2008Q4,1.4376,
2009Q1,1.4331,
2009Q2,1.6468,
2009Q3,1.5993,
2009Q4,1.6148,
2010Q1,1.5167,
2010Q2,1.4962,
2010Q3,1.5755,
2010Q4,1.5655,
2011Q1,1.603,
2011Q2,1.6056,
2011Q3,1.5579,
2011Q4,1.5461,
2012Q1,1.5981,
2012Q2,1.5686,
2012Q3,1.6149,
2012Q4,1.6168,
2013Q1,1.5181,
2013Q2,1.5167,
2013Q3,1.6194,
2013Q4,1.6528,
2014Q1,1.6673,
2014Q2,1.7097,
2014Q3,1.6212,
2014Q4,1.5608,
2015Q1,1.4847,
2015Q2,1.5729,
2015Q3,1.5147,
2015Q4,1.4819,
2016Q1,1.4378,
2016Q2,1.3429,
2016Q3,1.2991,
2016Q4,1.2303,
2017Q1,1.2507,
2017Q2,1.299,
2017Q3,1.3416,
2017Q4,1.351,
2018Q1,1.4033,
2018Q2,1.3203,
2018Q3,1.3041,
2018Q4,1.2769,
2019Q1,1.303,
2019Q2,1.2728,
2019Q3,1.232,
2019Q4,1.321,
2020Q1,1.2403,
2020Q2,1.2359,
2020Q3,1.2924,
2020Q4,1.3649,
2021Q1,1.3796,
2021Q2,1.3819,
2021Q3,1.3484,
2021Q4,1.3477,
2022Q1,1.3162,
2022Q2,1.2143,
2022Q3,1.117,
2022Q4,1.2039,
2023Q1,1.2364,
2023Q2,1.2714,
2023Q3,1.2207,
2023Q4,1.2747,
2024Q1,1.2632,
2024Q2,1.2642,
2024Q3,1.3413,
2024Q4,1.2529,
2025Q1,1.291,
2025Q2,1.3703,
2025Q3,1.3462,
2025Q4,1.3451,
2026Q1,1.3188,
2026Q2,1.3273,
