T,hi,t_hi,cpi1,t_cpi1,n
2008Q4,-0.10272508100513722,-0.1923714777318432,-0.022698893596247327,-0.24390849971741996,31
2009Q1,-0.13515082427709846,-0.243507261261192,-0.10696397426483681,-1.208840857054457,32
2009Q2,-0.14863327520340042,-0.25375170561886906,-0.15866758329557124,-1.7331327539891237,33
2009Q3,-0.13975415720139828,-0.2254291601997036,-0.1978161386379458,-2.0289505604666807,34
2009Q4,-0.08375329482230934,-0.13392000133284823,-0.20245330415575294,-2.003734957859409,35
2010Q1,-0.0835028295270499,-0.13166335691688347,-0.19940338950169254,-1.890146004542567,36
2010Q2,-0.09016698509590762,-0.13926414844687865,-0.2288173285336466,-2.322098616497245,37
2010Q3,-0.17998974121189887,-0.2756642196040947,-0.20310244062129548,-2.017853662532368,38
2010Q4,-0.15745638098058884,-0.24655866162534465,-0.2027981434760114,-2.053670216144258,39
2011Q1,-0.11903413247705297,-0.18863021722592183,-0.20697820609712572,-2.144964568798695,40
2011Q2,-0.12955183915355617,-0.20855568589027557,-0.20580337621548508,-2.1972965808357836,41
2011Q3,-0.37829311311050284,-0.6390486562463048,-0.22015656922348217,-2.3693262328565785,42
2011Q4,-0.20094319828267548,-0.4144384229717872,-0.20493233426425975,-2.281265861811068,43
2012Q1,-0.31694131615240884,-0.7116315847019611,-0.21038100033969717,-2.4241419162977023,44
2012Q2,-0.33179699323443457,-0.8005746264919132,-0.2048177125338814,-2.4876392305615114,45
2012Q3,-0.27802371995209574,-0.7055900529486856,-0.17672984948518056,-2.282221371784483,46
2012Q4,-0.1661687203170935,-0.4295172558478948,-0.12711899420030048,-1.6944902973906721,47
2013Q1,-0.09853522314996266,-0.25942513962111935,-0.10309432883348615,-1.4090996630173027,48
2013Q2,-0.11336400999939154,-0.30554822139595667,-0.10473974143651621,-1.4849684902564613,49
2013Q3,-0.07264981349536895,-0.19718054992190223,-0.09068544725281547,-1.2977045349708398,50
2013Q4,-0.08329541255155579,-0.2299165477840265,-0.09366802707272338,-1.3748750148425266,51
2014Q1,-0.08959441843855342,-0.2510317705444735,-0.09301572707818526,-1.4129646772692097,52
2014Q2,-0.05758873679426667,-0.15760933249001505,-0.061550329781375875,-0.9249740659595465,53
2014Q3,-0.08061299458664994,-0.2220531943457562,-0.07402987235129474,-1.1500768252120326,54
2014Q4,-0.09526621600321358,-0.26549576771656114,-0.07927568579617172,-1.2692512003955785,55
2015Q1,-0.1117962238776361,-0.3145118989129878,-0.0856193365645396,-1.4228399891734573,56
2015Q2,-0.12314469250559906,-0.34957015421407517,-0.08751637677648474,-1.5304093484031611,57
2015Q3,-0.12072902595722007,-0.34194312186220416,-0.06833213101701095,-1.231528042342342,58
2015Q4,-0.11070266319864783,-0.31092256127849294,-0.04652372805255958,-0.8584458411949007,59
2016Q1,-0.12313212873701673,-0.34788339070773716,-0.05411643470671354,-1.0408283157385305,60
2016Q2,-0.12499338986273238,-0.3566941828126536,-0.05223320812272944,-1.0406525086581735,61
2016Q3,-0.1307364502494782,-0.3762581393804212,-0.0543262989188872,-1.1148867946888994,62
2016Q4,-0.13394695158407674,-0.3888749384140868,-0.055080619218254884,-1.1540182858752408,63
2017Q1,-0.1159928406299029,-0.33445050755608746,-0.047520314911141774,-0.9891575197837456,64
2017Q2,-0.11898359710540833,-0.34602489842502093,-0.04741463695458419,-0.9935960687423477,65
2017Q3,-0.12424484982926964,-0.363792053781265,-0.04539397902068155,-0.9565110210392538,66
2017Q4,-0.1274400831687778,-0.37551140541395844,-0.04245983465679909,-0.8985015852657312,67
2018Q1,-0.14201402834868448,-0.4168479419303366,-0.037471003126520165,-0.7887413077743151,68
2018Q2,-0.13984990250732873,-0.41411681091317265,-0.03702595077150496,-0.7860971171676071,69
2018Q3,-0.15028071962203696,-0.44362608454902897,-0.035201550661037036,-0.7442448652821814,70
