,g,cpi,u,i,oil,usdgbp,p,he
1993Q1,0.5,2.4,10.6,6.1577777777777785,18.216666666666665,1.4779373063682673,63.2,130.38042320092438
1993Q2,0.4,2.5,10.4,5.880000000000001,18.276666666666667,1.533561250473639,64.433,125.82085067639998
1993Q3,0.9,2.9,10.2,5.880000000000001,16.496666666666666,1.5039061200995156,64.5,121.60542263462597
1993Q4,0.7,2.4,10.3,5.66804347826087,15.18,1.4914763642226976,64.667,121.71999324918438
1994Q1,1.0,2.5,9.9,5.235555555555555,13.97,1.4878246109966984,64.78,127.90319516010682
1994Q2,0.9,2.0,9.7,5.13,16.060000000000002,1.5042744120866096,65.72166000000001,133.37010171698398
1994Q3,1.0,1.7,9.4,5.233260869565217,16.796666666666667,1.5517396626740825,65.59649999999999,129.87459137378053
1994Q4,0.4,1.8,9.0,5.765869565217392,16.536666666666665,1.584782988407006,65.831006,129.388352823883
1995Q1,0.5,2.5,8.9,6.452222222222223,16.89,1.5822970302609571,66.39949999999999,137.36803160195473
1995Q2,0.2,2.4,8.7,6.630000000000001,18.10333333333333,1.5964660587306885,67.29897984000002,133.77021202213493
1995Q3,1.1,2.7,8.6,6.630000000000001,16.21666666666667,1.5737157197368443,67.36760549999998,130.1343405565281
1995Q4,0.3,2.9,8.3,6.578369565217392,16.966666666666665,1.5602931532323554,67.74010517399999,130.16468294082628
1996Q1,0.7,2.6,8.2,6.126593406593407,18.566666666666663,1.530700135581128,68.12588699999999,138.3296078231684
1996Q2,0.3,2.4,8.3,5.871318681318682,19.50333333333333,1.5242554961775088,68.91415535616002,134.57283329426772
1996Q3,0.9,2.2,8.1,5.69,20.90333333333333,1.5540919323225255,68.84969282099998,131.04528094042377
1996Q4,1.3,2.5,7.8,5.8611956521739135,23.566666666666663,1.637473989870718,69.43360780334999,130.29484762376708
1997Q1,1.6,1.9,7.3,5.94,21.17333333333333,1.6311302823911478,69.42027885299999,136.9463117449367
1997Q2,1.1,1.6,7.2,6.19945054945055,18.05333333333333,1.6354409013855715,70.01678184185859,132.1505222949709
1997Q3,0.9,1.9,6.8,6.875,18.506666666666668,1.624774050935437,70.15783698459897,126.45869610750893
1997Q4,1.5,1.8,6.5,7.152173913043479,18.74,1.6605248663550405,70.68341274381028,123.5195155473312
1998Q1,0.7,1.6,6.4,7.25,14.12,1.645900822526636,70.53100331464799,129.55121091071013
1998Q2,0.6,1.8,6.3,7.324175824175824,13.366666666666667,1.6536493851571297,71.27708391501204,125.41084565792738
1998Q3,0.2,1.4,6.2,7.5,12.443333333333332,1.653426076036909,71.14004670238336,121.02097217488604
1998Q4,0.7,1.4,6.1,6.839673913043479,11.186666666666667,1.6754380818675354,71.67298052222363,121.04912523638457
1999Q1,0.7,1.6,6.2,5.705555555555556,11.296666666666669,1.6329226667204864,71.65949936768236,128.38525001251372
1999Q2,0.4,1.4,6.0,5.211538461538462,15.46,1.6064718918684289,72.27496308982221,124.5329697383219
1999Q3,1.7,1.2,5.9,5.0625,20.613333333333333,1.601885435551338,71.99372726281196,121.74709800793536
1999Q4,1.6,1.1,5.8,5.407608695652174,24.016666666666666,1.630307252179046,72.46138330796808,122.38066561398479
2000Q1,1.3,0.8,5.8,5.857142857142857,26.926666666666662,1.6067329261567422,72.23277536262381,130.43941401271394
2000Q2,0.7,0.6,5.5,6.0,26.766666666666666,1.5334876867274507,72.70861286836114,124.40843676858357
2000Q3,0.6,0.8,5.3,6.0,30.67333333333333,1.4767622469377677,72.56967708091446,122.11233930195915
2000Q4,0.6,1.0,5.2,6.0,29.723333333333333,1.4463668184860872,73.18599714104776,123.84923360135261
2001Q1,0.8,0.9,5.1,5.855555555555555,25.87333333333333,1.4581448967152422,72.88287034088742,129.2654592865995
2001Q2,0.4,1.5,5.0,5.368131868131868,27.27333333333333,1.4210628076458085,73.79924206138655,127.39423925102957
2001Q3,0.5,1.5,5.1,5.051630434782608,25.30333333333333,1.438574073799549,73.65822223712817,124.43247374869637
2001Q4,0.3,1.0,5.2,4.214673913043479,19.35,1.4423325472468582,73.91785711245824,122.85843973254178
2002Q1,0.3,1.5,5.2,4.0,21.133333333333336,1.426004747954029,73.97611339600073,132.3678303094779
2002Q2,0.5,0.9,5.2,4.0,25.05333333333333,1.4621783276075118,74.46343523993902,129.305152839795
2002Q3,0.6,1.0,5.3,4.0,26.93,1.5498823276618996,74.39480445949945,126.17452838117812
2002Q4,0.7,1.5,5.1,4.0,26.736666666666665,1.5715920465969788,75.0266249691451,126.42133448478549
2003Q1,0.8,1.5,5.2,3.85,31.52,1.6027013074305845,75.08575509694073,135.27992257628642
2003Q2,0.9,1.3,4.9,3.75,26.17,1.618996205892592,75.43145989805822,130.72750952103274
2003Q3,1.0,1.4,5.0,3.5244565217391304,28.45,1.610482801409688,75.43633172193245,128.5718444204205
2003Q4,0.8,1.3,4.9,3.652173913043478,29.39,1.7068804759691172,76.00197109374399,129.45544651242034
2004Q1,0.3,1.3,4.8,3.9038461538461537,31.923333333333336,1.8396826200377447,76.06186991320095,139.47360017615128
2004Q2,0.5,1.4,4.8,4.211538461538462,35.446666666666665,1.805651321985011,76.48750033663104,139.48625265894194
2004Q3,0.4,1.3,4.7,4.654891304347826,41.38666666666666,1.819182415203071,76.41700403431756,137.70044537427034
2004Q4,0.5,1.4,4.7,4.75,44.16333333333333,1.865705373261502,77.0659986890564,143.56609018227417
2005Q1,0.8,1.7,4.7,4.75,47.696666666666665,1.8904156429243608,77.35492170172536,158.72095700046015
2005Q2,0.8,2.0,4.8,4.75,51.626666666666665,1.8566405298441524,78.01725034336367,156.78254798865075
2005Q3,0.9,2.4,4.7,4.592391304347826,61.47,1.7838081177809697,78.25101213114118,155.32610238217697
2005Q4,1.0,2.1,5.1,4.5,56.88,1.7486471457069497,78.68438466152658,163.9524749881571
2006Q1,0.4,1.9,5.2,4.5,61.75333333333333,1.7536309926797795,78.82466521405813,180.9418909805246
2006Q2,0.3,2.3,5.5,4.5,69.53333333333335,1.826833777221968,79.81164710126103,195.97818498581344
2006Q3,0.2,2.4,5.5,4.6603260869565215,69.62,1.874075344411108,80.12903642228856,200.991976482537
2006Q4,0.4,2.7,5.5,4.894021739130435,59.68,1.9172149216824668,80.80886304738779,213.957979859545
2007Q1,1.1,2.9,5.5,5.222222222222222,57.76333333333333,1.9550491289540872,81.1105805052658,231.78656234605202
2007Q2,0.9,2.6,5.4,5.392857142857143,68.58333333333333,1.98636170116053,81.88674992589382,217.3398071492671
2007Q3,0.9,1.8,5.3,5.739130434782608,74.95333333333333,2.021615243698786,81.57135907788977,203.2028882238449
2007Q4,0.8,2.1,5.2,5.679347826086956,88.56,2.0436945393024697,82.50584917138292,202.83216490684865
2008Q1,0.4,2.4,5.2,5.351648351648351,96.93666666666668,1.9787643282696763,83.05723443739218,232.94549515778226
2008Q2,-0.5,3.4,5.4,5.024725274725275,121.39666666666666,1.971119557610291,84.67089942337422,242.76856458573135
2008Q3,-1.6,4.8,5.9,5.0,114.39666666666666,1.8908556815144464,85.48678431362848,257.66126226783535
2008Q4,-2.1,3.9,6.4,3.3206521739130435,54.66,1.5681950882364015,85.72357728906685,279.2998910767306
2009Q1,-2.0,3.0,7.1,1.0833333333333333,44.43333333333334,1.4351111178803204,85.54895147051396,291.4148144423856
2009Q2,-0.3,2.1,7.8,0.5,58.696666666666665,1.5499829106288168,86.44898831126507,269.23033812557605
2009Q3,0.1,1.5,7.8,0.5,68.2,1.6410952462240185,86.76908607833289,260.7531974150494
2009Q4,0.3,2.1,7.8,0.5,74.63,1.6346280132249689,87.52377241213725,260.0281985924362
